text,speaker,talktime_words,math_density,uptake,student_reasoning,focusing_questions,text_arabic,text_back_translated
"How many groups of 16.  Thank you very much.  How many groups. Now we’re going to build it into how many groups of 32? This is our prediction.  We did for 16, now the next one would be 32.   We don’t need to tell, yes, because people have different numbers, and I want people to kind of work it up.  Build the tower up to, not to 16 now, but to 32. But you can predict.  How could you predict that? See, Student R is not really paying attention.  I don’t think he’ll be able to do a good job.  Student R.  Could you help us.  How could you predict.  If I know for 16…",teacher,115,0,,,1.0,كم عدد المجموعات من 16؟ شكراً جزيلاً لكم. كم عدد المجموعات. الآن سنقوم بإنشائها إلى عدد المجموعات من 32؟ هذا هو التنبؤ لدينا. فعلنا لـ 16، والآن المجموعة التالية ستكون 32. نحن لا نحتاج أن نقول، نعم، لأن الناس لديهم أرقام مختلفة، وأريد أن الناس نوعاً ما يعملون على ذلك. بناء البرج إلى، وليس إلى 16 الآن، ولكن إلى 32. ولكن يمكنك التنبؤ. كيف يمكنك التنبؤ بذلك؟ انظر، الطالب R لا يجهل الانتباه حقاً. لا أعتقد أنه سيكون قادراً على القيام بعمل جيد. الطالب R. هل يمكنك مساعدتنا. كيف يمكنك التنبؤ. إذا كنت أعرف لـ 16 ...,"How many sets of 16? Thank you very much. How many sets. Now we're going to build it up to the number of sets of 32? That's our prediction. We did 16 and now the next set will be 32. We don't need to say, yes, because people have different numbers, and I want people to sort of work on that. building the tower to, not to 16, but to 32, but you can predict."
Yes?,student,1,0,,,,-أجل؟,- Yes?
"He’s good now, listen to Student R. If I know for 16 multiple, this is my product.",teacher,17,2,,,0.0,هو جيد الآن، استمع إلى الطالب R. إذا كنت أعرف ل 16 مضاعفة، وهذا هو منتج بلدي.,"It's good now, listen to student R. If I know 16 times, that's my product."
[Inaudible],student,1,0,,,,[غير مسموع],[Unheard of]
It’s Student R.  Student R.  Give Student R a chance.,teacher,10,0,,,0.0,إنه الطالب (ر) الطالب (ر) أعط الطالب (ر) فرصة,It's the student.The student.Give the student a chance.
"If you know 16, you can know 32, because you can just add another 16.",student,15,1,,1.0,,إذا كنت تعرف 16 ، يمكنك معرفة 32 ، لأنك يمكنك فقط إضافة 16 آخر.,"If you know 16, you can know 32, because you can only add another 16."
Good job.  And now somebody say add.  We could add another…,teacher,11,2,1.0,,0.0,عمل جيد والآن يقول أحدهم إضافة يمكننا إضافة آخر,Good work and now someone says add one we can add another
Timing by two.,student,3,0,,,,التوقيت في اثنين.,The time is two o'clock.
"Timing by two, that’s very good, that’s the thing I was waiting for.  And now [inaudible] is here.",teacher,18,0,,,0.0,التوقيت عند الثانية، هذا جيد جداً، هذا هو الشيء الذي كنتُ أنتظرُه، والآن هو هنا.,"The timing at two o'clock, that's very good, that's what I've been waiting for, and now it's here."
Seven hundred and [four]. Student I is not paying attention.,student,10,1,,0.0,,الطالب الأول لا ينتبه,The first student does not pay attention to the student.
"Okay, now, I want you to still kind of build it, even you know. So you build 15.  You could say I know it because I’ve done up to, and after 16 then I’ll go – listen – if I skip counting by 4, then my next one would be …",teacher,51,0,0.0,,0.0,حسناً، الآن، أريد منك أن تبنيه نوعاً ما، حتى لو كنت تعرف ذلك. لذا يمكنك أن تبنيه 15. يمكنك أن تقول أنني أعرف ذلك لأنني قمت بذلك، وبعد 16 ثم سأذهب,"Well, now, I want you to adopt it somehow, even if you know it. so you can adopt it 15. you can say I know it because I did it, and after 16 then I'll go"
"1,400.",student,1,0,,,,1400.,1400.
"No, no, hold on.  My next multiple would be, if I do skip counting by 4, the 20th…",teacher,18,1,,,0.0,لا، لا، انتظر، ضربي التالي سيكون، إذا تخطيت العد بـ4، العشرين...,"No, no, wait, my next multiplication will be, if I pass the count of four, twenty..."
"24, 28.",student,2,0,,,,24، 28,"24, 28, and 24."
Yeah.,teacher,1,0,,,0.0,-أجل، أجل,"- Yes, yes, yes"
28 … 32!,student,3,0,,,,28 ... 32!,Twenty-eight ... thirty-two!
"Good job.  Good job.  Now I’m going to let people see and we’ll walk around.  Mr. R is here now, and he’s going to walk around and see people who not only built a multiple tower up to the 32nd, but they will write the division, which is kind of the opposite, okay? All right.  Now you may go back to your seat, and then we’ll come back to see what did you learn. You’re already there? So you need to do it kind of [inaudible]. Rio? I don’t have a Rio marker, I only have this. Are you sure you want to? Just kind of make it.",teacher,108,2,,,0.0,عمل جيد. عمل جيد. الآن سأدع الناس يرون وسنمشي حولها. السيد آر هنا الآن، وسوف يمشي حولها ويرى الناس الذين لم يقتصروا على بناء برج متعدد حتى الثالث والثلاثين، ولكنهم سيكتبون التقسيم، والذي هو نوعا ما العكس، حسناً؟ الآن يمكنك العودة إلى مقعدك، ومن ثم سنعود لرؤية ما تعلمته. أنت هناك بالفعل؟ لذلك يجب عليك القيام بذلك نوعاً ما [غير قابل للسمع]. ريو؟ ليس لدي علامة ريو، لدي فقط هذا. هل أنت متأكد من أنك تريد ذلك؟ فقط نوعاً ما قم بذلك.,"Now I'm going to let people see and walk around. Mr. R is here right now, and I'm going to walk around and see people who not only built multiple towers until the 33rd, but they're going to write the split, which is kind of the opposite, okay? Now you can go back to your seat, and then we'll go back to see what you've learned."
I did 16 so now it’s time to do the 36.,student,11,0,,0.0,,لقد فعلت 16 لذا الآن حان الوقت للقيام بال36,I've done 16 so now it's time to do 36.
I’ll come to you.  You build it up to 32nd.  You need to build it up to…,teacher,17,0,0.0,,0.0,سأأتي إليك، ستبنيها إلى 32، يجب أن تبنيها إلى...,"I will come to you, build it to 32, you must build it to..."
32nd.,student,1,0,,,,الثالث والثلاثين,Thirty-third and thirty-third.
"So sit down.  So you’re doing the equation, then you’re going to do up to the 32nd.  Good job.",teacher,19,1,,,0.0,لذا اجلس. إذا كنت تفعل المعادلة، ثم سوف تفعل حتى الثالث والثلاثين. عمل جيد.,"So sit down. If you do the equation, then you will do until the thirty-third."
I need a marker.,student,4,0,,,,أحتاج إلى علامة.,I need a sign.
"I don’t have a marker, I have those [inaudible].",teacher,9,0,,,0.0,ليس لديّ علامة، لديّ تلك [غير مسموعة].,"I don't have a sign, I have that one [unheard of]."
I have a marker.,student,4,0,,,,لدي علامة,I have a sign
"You do? Student I, maybe you should do it up here, not on the desk. Let’s see, how are you doing?",teacher,21,0,,,0.0,الطالب الأول، ربما عليك القيام بذلك هنا وليس على الطاولة، دعونا نرى كيف حالك؟,"Student number one, maybe you should do it here and not on the table, let's see how you do?"
Real good.,student,2,0,,,,جيد جداً,"Very good, very good."
"Okay, let me see what Student J is doing.  Oh, you already did your equation.  You did the equation already?",teacher,20,2,,,0.0,حسناً، دعني أرى ما الذي يفعله الطالب (جاي) لقد قمت بعملية المعادلة بالفعل,"Well, let me see what the student (Jay) does."
Yeah.,student,1,0,,,,-أجل، أجل,"- Yes, yes, yes"
So is that what you’re doing?,teacher,6,0,,,0.0,إذاً هل هذا ما تفعله؟,So that's what you do?
I already did my equation.,student,5,1,,,,لقد قمت بعمل معادلتي,I've made my equation.
Good job.,teacher,2,0,0.0,,0.0,عمل جيد,Good practice is good practice.
I’m going up to 32.,student,5,0,,,,سأصعد إلى 32,I'm going up to 32.
"32nd, good job.",teacher,3,0,0.0,,0.0,الثامنة والثلاثين، عمل جيد.,"Thirty-eight, good work."
"Mr. J, I need to start going like this because I don’t have any space left.",student,16,0,,0.0,,سيّد (جاي) ، عليّ البدء بهذه الطريقة لأنّي لا أملك أيّ مساحة.,"Sir, I have to start this way because I don't have any space."
You could do the second 16th right up here.,teacher,9,0,0.0,,0.0,يمكنك أن تفعل الثاني 16 هنا.,You can do the second 16 here.
Okay.  I just need to separate them first.,student,8,0,,0.0,,حسناً، يجب أن أفرقهما أولاً,"Well, I have to separate them first."
"Maybe Student J didn’t get what we are doing.  We did up to 16th, right? Then we’re going to build it up to the 32nd and then write the division equation.",teacher,31,2,0.0,,0.0,ربما الطالب J لم يحصل على ما نقوم به. فعلنا حتى 16، أليس كذلك؟ ثم نحن ذاهبون إلى بناء حتى 32 ثم كتابة معادلة التقسيم.,"Maybe student J didn't get what we're doing. We did until 16, didn't we? Then we're going to build up to 32 and then write the division equation."
I already did this.,student,4,0,,,,لقد فعلت هذا بالفعل,I've already done that.
You know what? I want you to build the tower to be more effective. How did you break it? How did you break it?,teacher,24,0,,,1.0,أريدك أن تبني البرج لتكون أكثر فعالية كيف كسرته؟,"I want you to build the tower to be more efficient, how did you break it?"
[Inaudible],student,1,0,,,,[غير مسموع],[Unheard of]
"How did you break it.  For the base one, look at that.  What was your base number?",teacher,17,0,,,1.0,كيف كسرتها، بالنسبة للقاعدة الأولى، انظر إلى ذلك، ما هو رقم القاعدة الخاص بك؟,"How did you break it, for the first rule, look at that, what's your rule number?"
45.,student,1,0,,,,45,45 45
"Now, what is your fifth number or your sixth number? What is your sixth multiple?",teacher,15,1,,,0.0,الآن، ما هو رقمك الخامس أو رقمك السادس؟ ما هو عددك السادس المتعدد؟,"Now, what is your fifth number or your sixth number?"
My sixth multiple is 270.,student,5,1,,,,ضربي السادس هو 270.,Multiplying the sixth is 270.
"So 45, see if you use a marker, don’t use different color markers, use one, yes, that’s very good.  See?  Very good. Now, what was…  Good job.  Now, what is the equation for that?",teacher,34,1,0.0,,0.0,إذاً، 45، انظر إذا كنت تستخدم علامة، لا تستخدم علامات ملونة مختلفة، استخدم واحدة، نعم، هذا جيد جداً. ترى؟ جيد جداً. الآن، ما كان... عمل جيد. الآن، ما هي المعادلة لذلك؟,"So, 45, see if you're using a symbol, don't use different colored symbols, use one, yes, that's very good. see? very good. now, what was that... good work. now, what's the equivalent of that?"
The equation?,student,2,1,,,,المعادلة؟,The equation?
45…,teacher,1,0,,,0.0,45...,45...
Times 45?,student,2,0,,,,45 مرة؟,Forty-five times?
"No, look at it.",teacher,4,0,,,0.0,لا، انظري إليها,"No, look at her."
6 times 45.,student,3,0,,,,6 × 45,6 × 45
"Thank you, 6 times 45.  Okay, okay. So you write the equation, but remember you’re going to build… You predict, that’s good, that’s one of the things.  Can you predict the equation?  I know or I predict that my next…",teacher,40,2,,,0.0,شكراً، 6 × 45. حسناً، حسناً، حسناً، إذاً أنت تكتب المعادلة، ولكن تذكر أنك ستبني... أنت تتوقع، هذا جيد، هذا واحد من الأشياء. هل يمكنك التنبؤ بالمعادلة؟,"Well, well, well, well, then you're writing the equation, but remember that you're going to build... you're expecting, that's good, that's one of the things."
"I doubled this, [inaudible].",student,4,0,,,,أنا مضاعفة هذا، [غير مسموع].,"I'm doubling this, [unheard of]."
"Wait a minute, can you write the equation? 45 times what would you give you this number?",teacher,17,1,,,1.0,انتظر لحظة، هل يمكنك كتابة المعادلة؟ 45 مرة ما الذي ستعطيه هذا الرقم؟,"Wait a minute, can you write the equation 45 times what would you give this number?"
Would give you that number?,student,5,0,,,,هل أعطيك هذا الرقم؟,Can I give you this number?
"Yeah, can you write the equation? 45 times what?",teacher,9,1,0.0,,0.0,نعم، هل يمكنك كتابة المعادلة؟,"Yes, can you write the equation?"
8?,student,1,0,,,,ثمانية؟,Eight?
No.  45 times…,teacher,3,0,,,0.0,لا، 45 مرة...,"No, 45 times..."
16.,student,1,0,,,,16.,16.
Is this.,teacher,2,0,,,0.0,هذا هو.,That's him.
820.,student,1,0,,,,820.,820.
But for the 32nd.,teacher,4,0,,,0.0,لكن للثلاثين,But for thirty
"Oh, 45 times 32.",student,4,0,,,,45 × 32,32 × 45 
"45 times 32nd, yeah.  That’s your prediction.  Equal…",teacher,8,0,,,0.0,45 × 32، نعم، هذا هو التنبؤ الخاص بك.,"45 × 32, yes, that's your prediction."
[Inaudible],student,1,0,,,,[غير مسموع],[Unheard of]
"Good job.  Now, I want you to effectively investigate, if I keep on building, let’s see if you’re going to get to this number.  It’s like an investigation.",teacher,28,0,,,0.0,حسناً، أريدك أن تبحث بشكل فعال، إذا استمرت في البناء، لنرى إن كنت ستصل إلى هذا الرقم.,"Well, I want you to search actively, if you keep building, let's see if you can get to that number."
This is in the way.,student,5,0,,,,هذا في الطريق.,This one's on the way.
"Just go around, that’s fine.",teacher,5,0,0.0,,0.0,إذهبي فحسب، لا بأس.,"Just go, it's all right."
Look what I’m doing.,student,4,0,,,,انظر ماذا أفعل,Look what I'm doing.
"What are you doing? Oh, so you’re doing by 4.  Good job.  So you went to 16.  So you’re doing by groups of…",teacher,23,0,,,0.0,ما الذي تفعله؟ إذاً أنتِ تقومين بـ 4، عمل جيد، لذا ذهبتِ إلى 16، لذا أنتِ تقومين بـ...,"So you're doing 4, good work, so you went to 16, so you're doing..."
Four.,student,1,0,,,,أربعة.,Four.
"Good job, good job. So you’re on 24th, the next number would be?",teacher,13,0,,,0.0,عمل جيد، عمل جيد، إذاً أنت في الرابع والعشرون، والرقم التالي سيكون؟,"Good job, good job, so you're twenty-four, and the next number will be?"
"32 … um, 28.",student,4,0,,,,32... امم، 28,"32... um, 28"
Good job.  Then 32.,teacher,4,0,,,0.0,عمل جيد، ثم 32,"Good work, then 32"
This is my big equation.,student,5,1,,,,هذه هي معادلتي الكبيرة,This is my big equation.
Your big equation for up to 16.,teacher,7,1,1.0,,0.0,المعادلة الكبيرة الخاصة بك حتى 16.,Your big equation up to 16.
"Yes, and my big equations.",student,5,1,,,,نعم، ومعادلاتي الكبيرة.,"Yes, and my big equations."
"All right, so your base number was 72.",teacher,8,0,0.0,,0.0,حسناً، إذاً رقمك الأساسي كان 72.,"Well, then your base number was 72."
Yes.,student,1,0,,,,-أجل، أجل,"- Yes, yes, yes"
"And one time, okay, up to 16.  Now can you predict?  Predict what the 32nd.  Because I have this, then I can predict my…",teacher,24,0,,,0.0,ومرة واحدة، حسنا، حتى 16 الآن هل يمكنك التنبؤ؟,"And once, well, up to 16 now can you predict?"
So I can keep on building?,student,6,0,,,,حتى أتمكن من مواصلة البناء؟,So I can continue building?
"Yes, exactly, you keep on building.  And up to thirty….",teacher,10,0,1.0,,0.0,نعم، بالضبط، تستمر في البناء وحتى الثلاثين...,"Yes, exactly, it continues to be built up to thirty..."
32.,student,1,0,,,,32.,32. 32.
"See, what he did, he kind of did, from 16 he jumped, he kind of got a group of 4.  He went from 16 to 20th.  Then 20th to 24th.  24th to… What would be the next?",teacher,37,0,,,0.0,ماذا فعل، نوعاً ما فعل، من 16 قفز، نوعاً ما حصل على مجموعة من 4، ذهب من 16 إلى 20، ثم من 20 إلى 24، 24 إلى... ماذا سيكون التالي؟,"What did he do, sort of did, from 16 jumps, sort of got a set of 4, went from 16 to 20, then from 20 to 24, 24 to... What's next?"
"The 24th to the 30th, and then…",student,7,0,,,,من الرابع والعشرين إلى الثلاثين ومن ثم...,From the 24th to the 30th and then...
24th…,teacher,1,0,1.0,,0.0,الشارع 24,24th street
24th…,student,1,0,,,,الشارع 24,24th street
"If I do it by four-digit, four group.  My tower, it would go from…",teacher,14,1,,,0.0,إذا قمت بذلك بأربعة أرقام، أربعة مجموعات، برجي، سيكون من...,"If you do this with four numbers, four sets, a tower, it will be of..."
44 to…,student,2,0,,,,44 إلى...,44 to the...
"No, not 44.  You jumped from 16…",teacher,7,0,,,0.0,لقد قفزت من 16...,I jumped from 16...
So I’m going to go all the way to 32.,student,10,0,,0.0,,لذا سأذهب إلى 32.,So I'm going to go to 32.
"Now some people are making it too long.  You know, you don’t need to make it that fancy.  Because you started on the perfect one.  Why do you… See, he’s…",teacher,30,0,0.0,,1.0,الآن بعض الناس يجعلون الأمر طويلاً جداً لا يجب عليك أن تجعله جميلاً لأنك بدأت بالشيء المثالي,Now some people make it too long you don't have to make it pretty because you're starting with the perfect thing.
"Yeah, he’s kind of like built them all.",student,8,0,,0.0,,أجل، إنه نوعاً ما قام ببناءهم جميعاً,"Yeah, he kind of built them all up."
"He’s doing fine.  I was afraid you weren’t going to make it, but you are doing fine.  But you shouldn’t start another one. Because you did very well.  Where is the other one? Keep building on it.",teacher,37,0,1.0,,0.0,إنه بخير. كنت أخشى أنك لن تنجح، لكنك بخير. ولكن لا يجب أن تبدأ واحدة أخرى. لأنك فعلتها بشكل جيد جداً. أين الأخرى؟ استمر في البناء عليها.,"He's fine. I was afraid you wouldn't succeed, but you're fine. But you shouldn't start another one. Because you did it very well."
I’ve done the 30th.,student,4,0,,,,لقد قمت بالثلاثين,I've already made thirty.
"Keep building on that side now, because you did 4th, 8th, 12th, what would be your next?",teacher,17,0,,,0.0,استمر في البناء من هذا الجانب الآن، لأنك فعلت الرابع، الثامن، الثاني عشر، ما سيكون التالي الخاص بك؟,"Keep building from this side now, because you've done the fourth, eighth, twelfth, what will be your next one?"
I did a group of 5.,student,6,0,,,,لقد عملت مجموعة من الخمسة,I've worked with a group of five.
You did by 5?  Group of 5. Good.,teacher,8,0,1.0,,0.0,-كنت في مجموعة من الخامسة,-I was in a group of five
"Mr. J, I got it.  I did 72 times 32, which equals …",student,13,0,,0.0,,سيّد (جاي) ، فهمتُه، فعلتُه بـ72 × 32، وهو ما يعادل...,"Mister (Jay), I get it, I did it with 72 x 32, which is equivalent to..."
"Wait a second.  Wait a second.  If I go from 16, the equation is a thousand? How could it be?",teacher,20,2,0.0,,1.0,انتظر لحظة، انتظر لحظة، إذا ذهبت من 16، فإن المعادلة هي ألف؟ كيف يمكن أن يكون؟,"Wait a minute, wait a minute, if you go from 16, the equation is a thousand?"
"Oh, I didn’t mean [inaudible].",student,5,0,,,,أوه، لم أقصد [غير مسموع].,"Oh, I didn't mean [unheard of]."
"Good job, good job, very good. How are you doing? Let’s see this.  So how did you start?",teacher,18,0,0.0,,1.0,عمل جيد، عمل جيد، جيد جداً كيف حالك؟ دعونا نرى هذا. كيف بدأت؟,"Good work, good work, very good how are you? let's see this. how did you get started?"
I built my tower that I was working with…,student,9,0,,0.0,,بنيتُ برجِي الذي كنتُ أعملُ مع...,I built my tower that I was working with...
"See, 1, 5, and my 5th digit.",teacher,7,1,0.0,,0.0,انظر، 1، 5، والرقم الخامس.,"See, 1, 5, and the number five."
10th.,student,1,0,,,,العاشرة,The tenth
"Put the 10th, put it next to it.  10th.  You didn't put the “th”.  Good job.  No, it’s T-H.",teacher,19,0,,,0.0,ضع العاشرة، ضعها بجوارها، العاشرة، لم تضع العاشرة، عمل جيد.,"Put a tenth, put it next to it, a tenth, didn't put a tenth, good job."
"Oh, T-H.",student,2,0,,,,أوه، T-H.,"Oh, T-H."
"Yeah, that is the order.  The rank.  15th. Good job. Now, Student K, Student K, see, you started another one. And that will take you longer.",teacher,26,0,,,0.0,أجل، هذا هو الترتيب، الرتبة الخامسة عشرة، عمل جيد، الآن، الطالب ك، الطالب ك، انظر، بدأت واحدة أخرى، وهذا سيستغرق لك وقتًا أطول.,"Yes, that's the order, fifteenth place, good work, now, student K, student K, look, I started another one, and that will take you longer."
[Inaudible],student,1,0,,,,[غير مسموع],[Unheard of]
"I know, but you won’t have done the thing.  Where is the other one you started yesterday?",teacher,17,0,,,0.0,أعلم، لكنّك لن تفعلي ذلك الشيء، أين الآخر الذي بدأتيه بالأمس؟,"I know, but you're not going to do that thing, where's the other one you started yesterday?"
"I did 68, but it was supposed to be 12.",student,10,0,,0.0,,لقد فعلت 68، ولكن كان من المفترض أن يكون 12.,"I did 68, but it was supposed to be 12."
"So I don’t think you’ll get a chance to make it up to 32nd, because you’re already up to 20th, right? So what would be your 24th digit? Is it 24th? This is 20, 20th, so your next would be?",teacher,40,1,0.0,,0.0,لذا أنا لا أعتقد أنك ستحصل على فرصة للقيام بها إلى 32، لأنك قد وصلت بالفعل إلى 20، أليس كذلك؟ إذن ما هو رقم 24 الخاص بك؟ هل هو 24؟ هذا هو 20، 20، لذلك سيكون رقمك التالي؟,"So I don't think you'll get a chance to make it to 32, because you've already made it to 20, right?"
"24, plus this.",student,3,0,,,,24، بالإضافة لهذا.,"24, in addition to this."
"No, but you need to put it here.  So are you going to bring it up this way, your tower? Yeah, that would be nice. Then you’re going to have another 16?",teacher,32,0,,,0.0,لا، ولكن عليك أن تضعها هنا، لذا هل ستجلبها بهذه الطريقة، برجك؟ أجل، سيكون ذلك لطيفاً، ثم ستحصل على 16 أخرى؟,"No, but you have to put it here, so will you bring it this way, tower? Yeah, that would be nice, and then you'll get 16 more?"
See this one is the…,student,5,0,,,,أترين هذا هو...,Do you see that this is...
"That’s why I said you didn’t need to do another one, you could have just keep on building.",teacher,18,0,0.0,,0.0,لهذا السبب قلت أنك لا تحتاج إلى القيام بعمل آخر، يمكنك فقط الاستمرار في البناء.,"That's why I said you don't need to do any more work, you can just keep building."
"I already did this one, so I’m going to keep on adding the numbers.",student,14,0,,0.0,,لقد فعلت هذا بالفعل، لذلك سأستمر في إضافة الأرقام.,"I've already done this, so I'll keep adding numbers."
"Okay, all right. How is she doing?",teacher,7,0,0.0,,0.0,حسناً، كيف حالها؟,"Well, how is she?"
I’m almost done.  I need four more to get to 32.,student,11,0,,0.0,,أنا على وشك الانتهاء، أحتاج إلى أربعة أخرى للوصول إلى 32.,"I'm about to finish, I need four more to get to 32."
Good job.,teacher,2,0,0.0,,0.0,عمل جيد,Good practice is good practice.
I couldn't do it so I’m going to go like that.,student,11,0,,0.0,,لم أستطع فعلها لذا سأذهب هكذا,"I couldn't do it, so I'm going like this."
So what did you do?,teacher,5,0,0.0,,1.0,إذاً ماذا فعلت؟,So what did you do?
I just keep on [inaudible].,student,5,0,,,,أنا فقط أستمر [غير مسموع].,I just keep going.
"Wait a minute.  So did you predict times 16 is 1,152.",teacher,11,0,0.0,,1.0,"انتظر لحظة هل توقعت ضرب 16 هو 1,152","Wait a minute, did you expect times 16 to be 1,152?"
And I’m going to put another equation here.,student,8,1,,0.0,,وسأضع معادلة أخرى هنا,And I'm going to put another equation right here.
"Yeah, times 32.",teacher,3,0,0.0,,0.0,أجل، مرّة 32.,"Yes, the 32nd time."
"Times 32, which is going to get me to whatever number I get for 32.",student,15,0,,0.0,,ضرب 32، والذي سيأخذني إلى أي رقم سأحصل عليه من أجل 32.,"Multiply 32, which will take me to any number I get for 32."
So can you do it?,teacher,5,0,0.0,,0.0,إذاً، هل يمكنك فعل ذلك؟,"So, can you do that?"
Yes.,student,1,0,,,,-أجل، أجل,"- Yes, yes, yes"
"What you need to do to be more effective, you could just keep on counting.",teacher,15,0,,,0.0,ما عليك القيام به ليكون أكثر فعالية، يمكنك فقط مواصلة العد.,"What you need to do to be more effective, you can just keep counting."
"Yeah, that’s what I’m going to do.",student,7,0,,,,أجل، هذا ما سأفعله,"Yeah, that's what I'm going to do."
"Okay, good.",teacher,2,0,1.0,,0.0,حسناً، جيد,"Well, that's good."
"And when I get to the 32, mark it 32 times, 6 times 72, and I’m going to put it right next to it.",student,24,0,,0.0,,وعندما أصل إلى 32، قم بتسجيل 32 مرة، 6 مرات 72، وسأضعها بجوارها.,"And when I get to 32, record 32 times, 6 times 72, and I'll put it next to it."
"You are good. So that would be, the 16th…",teacher,9,0,0.0,,0.0,أنتِ جيّدة، لذا سيكون ذلك في السادس عشر...,"You're good, so it will be on the 16th..."
That’s my 17.,student,3,0,,,,هذا هو 17 لي.,That's 17 for me.
"17, 18, 19, 20th, very good.",teacher,6,0,,,0.0,17، 18، 19، 20، جيد جدا.,"17, 18, 19, 20, very good."
"When I got here, I got this number.",student,8,0,,0.0,,عندما وصلت هنا، حصلت على هذا الرقم.,"When I got here, I got this number."
"Hmmm, so the 20th, 20th number, 20th multiple of what number? What was your base number again?",teacher,17,1,0.0,,0.0,إذن العدد العشرين، العشرين، العشرين مضاعف من أي رقم؟ ما هو رقم أساسك مرة أخرى؟,"So the number twenty, twenty, twenty multiplied by what number? what is your base number again?"
48.,student,1,0,,,,48.,48.
The 20th multiple of 48 is … Good job. 8 times 8?,teacher,12,1,,,0.0,المضاعف العشرين من 48 هو... عمل جيد. 8 × 8؟,Twenty times 48 is... good work. 8 × 8?
"Oh, 64.",student,2,0,,,,أوه، 64.,"Oh, 64."
"[Laughs] That’s why you’re making, see, when you’re doing it, if you skip, if you’re doing it the way you build the tower, see if you do it this way, probably you won’t get it.  But the effective way would be, what can you do?",teacher,45,0,,,0.0,[ضحك] لهذا السبب تقومون، انظروا، عندما تقومون بذلك، إذا قفزتم، إذا كنتم تفعلون ذلك بالطريقة التي تقومون بها ببناء البرج، انظروا إذا قمتم بها بهذه الطريقة، ربما لن تحصلوا عليها. ولكن الطريقة الفعالة ستكون، ما الذي يمكنك القيام به؟,"[Laughter] That's why you do, look, when you do it, if you jump, if you do it the way you build the tower, look, if you do it this way, you probably won't get it."
"1,226.",student,1,0,,,,1226,1226 1226
"That’s what it is.  Now how do you know, what did you do?",teacher,13,0,,,1.0,هذا ما هو عليه الآن كيف تعرف ماذا فعلت؟,"This is what it is now, how do you know what you did?"
Add 48 more.,student,3,1,,,,إضافة 48 أخرى.,Add another 48.
"Good job.  So, hey, that multiple tower is keep on adding 48. So did you keep on adding 48 today?",teacher,20,1,,,0.0,حسناً، هذا البرج المتعدد يستمر في إضافة 48، لذا هل استمر في إضافة 48 اليوم؟,"Well, this multipurpose tower continues to add 48, so will it continue to add 48 today?"
Mm-hmm.,student,1,0,,,,-حسناً,-Well then
"Okay.  How are you doing, Student R?  Good.  So your base number, 15, and you get to the 16th multiple?",teacher,20,1,,,0.0,حسناً، كيف حالك، الطالب (ر) ؟,"Well, how are you, student?"
No.,student,1,0,,,,-كلا .,"- No , not at all ."
"So you’re still doing the 16th multiple, okay.  So you’re on the 15th.  What do you do? Do you keep on adding, 15? And what is your 15th?",teacher,28,1,,,0.0,إذاً ما زلت تقوم بالعدد الـ16، حسناً، إذاً أنت في الـ15، ماذا تفعل؟ هل تستمر في إضافة الـ15؟ وما هو الـ15؟,"So you're still doing the number 16, okay, so you're at 15, what are you doing? Do you keep adding the 15? What's the 15?"
[Inaudible].,student,1,0,,,,[غير مسموع].,[Unheard of].
"Student R, are you helping him?",teacher,6,0,,,0.0,الطالب (ر) ، هل تساعده؟,"Student, can you help him?"
"You’re supposed to start on 16, right?",student,7,0,,,,من المفترض أن تبدأ في 16، أليس كذلك؟,"You're supposed to start at 16, aren't you?"
"16th.  Keep on going, just like you, keep on going to the 32nd.",teacher,13,0,0.0,,0.0,16، استمروا، كما تفعلون، استمروا بالذهاب إلى 32,"16, keep going, as you do, keep going to 32."
That’s what I tried to do.,student,6,0,,,,هذا ما حاولت فعله,That's what I tried to do.
"We have five more minutes, and I need someone that can share? You could share your 32nd multiple of whatever…",teacher,20,1,0.0,,0.0,لدينا خمس دقائق أخرى، وأحتاج لشخص يمكنه أن يشارك؟,"We have five more minutes, and I need someone who can participate?"
[Inaudible] crawled into my multiplication tower.,student,6,1,,,,[غير مسموع] تسلل إلى برج ضربي.,[Unheard] sneaked into the multiplication tower.
"Okay.  Then we need to see your division, your division equation. Student R? Student R now.  Guys, guys, guys, you need to sit and get it going. Let’s see, how far are you? How are you doing?",teacher,37,3,0.0,,0.0,حسناً، علينا أن نرى تقسيمك، معادلة تقسيمك، الطالب ر؟ الطالب ر الآن، يا رفاق، يا رفاق، عليكم أن تجلسوا وتبدأوا، دعونا نرى، كم تبعدون؟ كيف حالكم؟,"Okay, we need to see your division, your division equation, student r? student r Now, you guys, you guys, you guys, you need to sit down and start, let's see, how far away are you?"
[Inaudible].,student,1,0,,,,[غير مسموع].,[Unheard of].
