text,speaker,talktime_words,math_density,uptake,student_reasoning,focusing_questions,text_arabic
"Wait till you get there and then we’ll read that question, okay?  But it looks very similar.  But it might be just subtraction.  You might not fit any more there.  Where do you want yours?  Over your name?  I don’t even know who you are any more, you’re just [inaudible] now.",teacher,51,1,0.0,,0.0,انتظر حتى تصل إلى هناك ومن ثم سنقرأ هذا السؤال، حسنا؟ لكنه يبدو متشابه جدا. ولكن قد يكون مجرد خصم. قد لا تتناسب هناك بعد الآن. أين تريد الخاصة بك؟ على اسمك؟ أنا لا أعرف حتى من أنت بعد الآن، أنت فقط [غير قابل للسمع] الآن.
I want one. People keep peeling it off in the bus room.,student,12,0,,0.0,,أريد واحداً الناس يستمرون في التخلص منه في غرفة الحافلات
"So you each got one, good.  What’s on your fraction?",teacher,10,1,0.0,,0.0,إذاً كل واحد منكم يحصل على واحد، حسناً، ما هو جزءكم؟
People keep peeling it off in the bus room.,student,9,0,,0.0,,الناس يستمرون في التخلص منه في غرفة الحافلات.
"They get old, that’s all right.  What’s on your fraction?  I stuck it right there.",teacher,15,1,0.0,,0.0,يُصبحون كبار السن، لا بأس، ما هو جزءك؟
You gave it to Student C.,student,6,0,,,,لقد أعطيتها للطالب (سي)
"Oh, I did, sorry, here.  I forgot that you guys switched sheets.  I just gave you one, Student T, didn't I?  You know what?  I put it on the name tag and I thought that was yours.  I forgot that… Here you go.  I’ll put the points up after. Okay, let me do Student S.  What’s our new fraction for this?  What are we times-ing by?  For 4.",teacher,68,1,1.0,,0.0,أوه، أنا آسف، هنا. لقد نسيت أنّكم تغيرتم الأوراق. لقد أعطيتكم واحدة فقط، الطالب T، أليس كذلك؟ أتعلمون ماذا؟ وضعتها على علامة الاسم وأعتقدت أنها كانت لك. نسيت ذلك... ها أنت ذا. سأضع النقاط بعد ذلك. حسناً، دعوني أفعل الطالب S.
3.,student,1,0,,,,3 .
"3.  Okay, and what are we times-ing by here?",teacher,9,0,,,0.0,حسناً، ما هو الوقت الذي نقوم به هنا؟
4.,student,1,0,,,,4 .
"And what’s our new fractions?  [Lots of kids yelling in other classroom] Please just remember, we just need to ignore, I know it’s bothersome.",teacher,24,1,,,0.0,و ما هي كسورنا الجديدة؟ [كثير من الأطفال يصرخون في الفصول الدراسية الأخرى] رجاءً فقط تذكر، نحن فقط بحاجة إلى تجاهل، أنا أعرف أنه مزعج.
8 out of 12.,student,4,0,,,,8 من 12
"Oh, this one?  8 out of 12, plus what, what’s our first one?",teacher,13,0,,,0.0,هذه؟ 8 من 12، زائد ماذا، ما هو أول واحد لدينا؟
7 out of 1.,student,4,0,,,,7 من 1.
3 out of?,teacher,3,0,,,0.0,ثلاثة من ذلك؟
I mean 12.,student,3,0,,,,أعني 12
"Add’m up.  We might get to this too.  Can I see?  Okay, make sure you take that answer and put it on the line, okay? You have the right answer, good job, just put it on the job. How’s it coming, Student C?",teacher,43,2,,,0.0,حسناً، تأكد من أخذ هذه الإجابة ووضعها على الخط، حسناً؟ لديك الإجابة الصحيحة، عمل جيد، فقط ضعها على العمل. كيف حالك، الطالب سي؟
Good.,student,1,0,,,,-حسناً
"Good.   Good, Student D.",teacher,4,0,,,0.0,جيد، جيد، الطالب دي.
What’s [inaudible] with 11?,student,4,0,,,,ما هو [غير مستمع] مع 11؟
"Well, is 11 an even number or an odd number?  Can we cut an odd number in half?",teacher,18,3,,,0.0,حسناً، هل 11 عدداً مُزدوجاً أم عدداً مُزدوجاً؟ هل يمكننا قطع عدد مُزدوجاً إلى النصف؟
No.,student,1,0,,,,-كلا .
"So that might be as small as it gets, okay?  Circle your answer so I know which one’s your answer, thank you.  Then get started on the next one. Are they both the same?",teacher,34,1,,,0.0,لذلك قد يكون ذلك أصغر ما يحصل، حسنا؟ دائرة الإجابة الخاصة بك حتى أعرف أي واحد  الإجابة الخاصة بك، شكرا. ثم البدء في التالي. هل كلاهما هو نفسه؟
Yeah.,student,1,0,,,,-أجل، أجل
"Wow, that’s crazy.  Okay, can you read this out loud to me?",teacher,12,0,,,0.0,هذا جنون، حسناً، أيمكنك قراءة هذا بصوت عال لي؟
"A pizza is cut into 12 equal pieces.  Alexander eats one-third of the pizza.  Rachel eats one-fourth of the pizza, and Charles eats one-twelfth of the pizza.  What fraction of pizza did they have left?",student,35,1,,0.0,,تُقطع البيتزا إلى 12 قطعة متساوية. ألكسندر يأكل ثلث البيتزا. راشيل يأكل ربع البيتزا، وتشارلز يأكل اثنا عشر من البيتزا. كم جزء من البيتزا بقي لهم؟
You can do a clock.  Remember we’ve been using the clocks?  And the clock is already broken into how many equal pieces?,teacher,22,0,0.0,,0.0,يمكنك صنع ساعة، هل تتذكرين أننا كنا نستخدم الساعات، والساعة مكسورة بالفعل إلى كم قطعة متساوية؟
12.,student,1,0,,,,12
"So that can be your pizza that we color in, right?  Here.  Sit up.  So now from the middle point make it 12 pieces.  Where do your lines have to go to?  Go ahead and make 12.  Or you can just go … Where’s one third of this clock.  Right.  So where’s one-third on your clock?  Where did one third go to, do you remember?  Okay, so make it one-third.  So that’s what we’ll re-label that part.  Picture this is a pizza.  Who ate one-third?",teacher,85,1,,,0.0,لذا يمكن أن تكون هذه البيتزا التي نقوم بتلوينها، أليس كذلك؟ هنا. اجلس. الآن من النقطة الوسطية قم بتصنيفها 12 قطعة. إلى أين يجب أن تذهب الخطوط الخاصة بك؟ اذهب واصنع 12. أو يمكنك فقط الذهاب... إلى أين 1/3 من هذه الساعة. صحيح. إذاً أين 1/3 من هذه الساعة؟ أين ذهب الثلث؟ هل تتذكر؟ حسناً، لذلك قم بتصنيفها ثلثاً. لذلك هذا ما سنقوم بإعادة وضع علامة على هذا الجزء.
Alex.,student,1,0,,,,(أليكس)
Alexander eats one third.  So write Alexander.  Now we need to go the next person.  Rachel eats one-fourth.  How much is a fourth?,teacher,23,0,,,0.0,ألكسندر يأكل ثلثاً، لذا اكتب ألكسندر، الآن يجب أن نذهب إلى الشخص التالي، راشيل تأكل ربعاً.
[Inaudible],student,1,0,,,,[غير مسموع]
"No, that would be, if we went like that, that’s three equal pieces.  How do we do a fourth?",teacher,19,0,,,0.0,لا، هذا سيكون، إذا ذهبنا هكذا، وهذا هو ثلاثة قطع متساوية. كيف نفعل الرابعة؟
Right here?,student,2,0,,,,هنا؟
Yep.  So now label this piece.  Who ate that piece?,teacher,10,0,,,0.0,أجل، الآن ضع علامة على هذه القطعة، من أكلها؟
Rachel.,student,1,0,,,,(رايتشل)
"No, Rachel’s up here.  We split it into fourths, right?  Do you understand why?  If we were to go like this, ignore this line, how many equal pieces?  Four, right?  Yes or no.",teacher,33,1,,,0.0,لا، راشيل هنا، ونقسمها إلى أرباع، أليس كذلك؟ هل تفهمون لماذا؟ إذا ذهبنا هكذا، تجاهل هذا الخط، كم قطعة متساوية؟ أربعة، صحيح؟ نعم أو لا.
5.,student,1,0,,,,5 .
"No, ignore this line.  1, 2, 3, 4.  So Rachel ate that piece. Okay, now, read the last person.  How much did Charles eat?",teacher,24,1,,,1.0,لا، تجاهل هذه السطر، واحد، اثنان، ثلاثة، أربعة، إذاً (رايتشل) أكلت تلك القطعة، حسناً، الآن، اقرأ آخر شخص، كم أكلت (تشارلز) ؟
1/12.,student,1,0,,,,1/12.
So show me 1/12.,teacher,4,0,,,0.0,إذاً أرني 1/12.
Like right here.,student,3,0,,,,مثل هنا
Yeah.  Then write his name.  Okay.  And now it’s asking what fraction of the pizza do they have left over?  How many pieces did they have left over?  Where’s the leftovers.,teacher,31,1,,,0.0,أجل، ثم اكتب اسمه، حسناً، والآن يسأل كم جزء من البيتزا تبقى؟ كم قطعة تبقى؟ أين البقايا؟
They have 3 leftovers.,student,4,0,,,,لديهم 3 بقايا.
"Well, can you draw the pieces in?",teacher,7,0,,,0.0,حسناً، هل يمكنك رسم الأجزاء؟
What pieces in?,student,3,0,,,,في أي قطعة؟
"Okay, this is all gone and eaten.",teacher,7,0,,,0.0,حسنا، كل هذا ذهب وأكل.
Can I use the clock?,student,5,0,,,,هل يمكنني استخدام الساعة؟
"Sure.  No honey, it goes to the middle.  A pizza.  Did you ever see slices of pizza cut like that?  They all go to the dot in the middle, that’s why you have a clock.  Good.  Good, now how many pieces?",teacher,41,0,1.0,,0.0,بالتأكيد، لا يا عزيزتي، إنها تذهب إلى الوسط. بيتزا. هل رأيت قطعة من البيتزا تقطع هكذا؟ كلها تذهب إلى النقطة في الوسط، ولهذا السبب لديك ساعة. جيد. جيد، الآن كم قطعة؟
Four.,student,1,0,,,,أربعة.
Four leftover out of how many?,teacher,6,0,,,0.0,أربعة بقايا من بين كم؟
Out of 10.,student,3,0,,,,من بين عشرة
"So now it says what fraction of the pizza do they have left? You just told me, write it here.",teacher,20,1,,,0.0,إذاً الآن تقول كم جزء من البيتزا تبقى؟
5/10.,student,1,0,,,,5/10.
"Okay, can we find an equivalent fraction to that, that’s smaller?",teacher,11,1,,,0.0,حسناً، هل يمكننا العثور على جزء مساوٍ لذلك، وهو أصغر؟
This is one-third.,student,3,0,,,,هذا واحد ثلث.
So for every good…,teacher,4,0,,,0.0,لذا من أجل كل الخير
"Okay, now they said, they’re learning four.",student,7,0,,,,حسناً، الآن قالوا إنهم يتعلمون أربعة
"Good, but how many times does 3 go into 12?",teacher,10,0,0.0,,0.0,جيد، ولكن كم مرة يذهب 3 إلى 12؟
4.,student,1,0,,,,4 .
So how many do we need to shade in for 1/3?,teacher,11,0,,,0.0,إذاً، كم نحتاج إلى تخفيض الثلث؟
4.,student,1,0,,,,4 .
"Yep, so shade in one more.",teacher,6,0,,,0.0,نعم، لذا ظل في واحد أكثر.
I did 1/3.,student,3,0,,,,لقد فعلت 1/3.
"I know, but there’s 12 pieces, so if we’re splitting 12 into, remember, thirds, what number goes in here 3 times?",teacher,21,0,,,0.0,أعلم، لكن هناك 12 قطعة، لذا إذا كنا نقسم 12 إلى، تذكر، الثلث، ما هو الرقم الذي يدخل هنا 3 مرات؟
4.,student,1,0,,,,4 .
"4.  So that’s how many pieces she ate.  1, 2, 3…  1 of them, right?  One third, is 4, do you get it?",teacher,23,0,,,0.0,اذاً هذه هي عدد القطع التي أكلتها، واحد، اثنان، ثلاثة، واحد منهم، صحيح؟ الثلث هو أربعة، هل تفهمون؟
I think so.  Am I supposed to shade in 4 for the other one?,student,14,0,,0.0,,أعتقد ذلك هل من المفترض أن أظل في 4 للآخر؟
"Well, no, because then the next person ate ¼.  So make 4 lines. 1, 2, 3, 4.",teacher,17,1,1.0,,0.0,حسنا، لا، لأن الشخص التالي يأكل 1⁄4. لذا قم بأربعة خطوط. 1، 2، 3، 4.
"Oh, 3.",student,2,0,,,,أوه، ثلاثة.
"Yeah, good.",teacher,2,0,,,0.0,نعم، جيد.
Take away one at a time.,student,6,0,,,,خذ واحدا في كل مرة.
"1, 2, 3.  Good.  And then this one’s easy.  He ate how much?",teacher,13,0,0.0,,0.0,1، 2، 3، جيد، وهذا سهل، كم أكله؟
1.,student,1,0,,,,1 .
"Okay, we already did that one.  Good, now it says how many are left?",teacher,14,0,,,0.0,حسناً، لقد فعلنا ذلك بالفعل، حسناً، الآن يقول كم عدد الباقين؟
"That’s easy, 4.",student,3,0,,,,هذا سهل، 4.
What fraction is that?,teacher,4,1,,,0.0,ما هو هذا الجزء؟
1/8.,student,1,0,,,,1/8.
"How many do we have total, Sweetie?",teacher,7,1,,,0.0,كم عددنا إجماليًا يا عزيزتي؟
4 and 12. That’s more than…,student,6,0,,,,4 و 12، هذا أكثر من...
"Is it asking for more than [inaudible].  Oh, you’re saying the fraction is an improper fraction.",teacher,16,2,1.0,,0.0,أنت تقول أن الجزء هو جزء غير مناسب
Yeah.,student,1,0,,,,-أجل، أجل
"How do we make it proper, do you remember how to do it?",teacher,13,0,,,0.0,كيف نفعل ذلك بشكل صحيح، هل تتذكر كيف نفعل ذلك؟
No.,student,1,0,,,,-كلا .
"Okay, well see if you can figure it out.  Maybe you can do it by making the candy bar, or you can do it by how many times does 12 go into 17.  Okay, well you need to work on it. Can you make that a smaller factor?  Can you find an equivalent? [Inaudible]",teacher,54,1,,,0.0,حسنا، حسنا، انظر إذا كنت يمكن أن نفهم ذلك. ربما يمكنك أن تفعل ذلك من خلال صنع شريط الحلوى، أو يمكنك أن تفعل ذلك من خلال عدد مرات 12 يذهب إلى 17. حسنا، حسنا، تحتاج إلى العمل على ذلك. هل يمكنك أن تجعل ذلك عامل أصغر؟ هل يمكنك أن تجد ما يعادلها؟ [غير قابل للسمع]
[Inaudible],student,1,0,,,,[غير مسموع]
Is it 34?  12 and 16.  [Inaudible]  They’re both even.,teacher,10,0,,,0.0,هل هو 34؟ 12 و 16. كلاهما متساوي.
I don’t know what’s half of 34.,student,7,0,,,,لا أعرف ما هو نصف 34
"Well, what’s half of 30?",teacher,5,0,1.0,,0.0,حسناً، ما هو نصف 30؟
15?,student,1,0,,,,خمسة عشر؟
"Okay, then you’ve got 4 left over.  What’s half of 4?",teacher,11,0,,,0.0,حسناً، إذاً لديك 4 متبقية، ما هو نصف 4؟
[Inaudible],student,1,0,,,,[غير مسموع]
"No, what’s half of 4?",teacher,5,0,,,0.0,لا، ما هو نصف 4؟
"Oh, half of 4?  2.",student,5,0,,,,نصف أربعة؟
So 15 plus the 2.  Then you have 30 in half and 4 in half.,teacher,15,0,1.0,,0.0,اذاً 15 + 2 ثم لديك 30 في النصف و 4 في النصف
17.,student,1,0,,,,17
Yeah.,teacher,1,0,,,0.0,-أجل، أجل
[Inaudible],student,1,0,,,,[غير مسموع]
If you cut the top one in half you have to cut the [inaudible] in half [inaudible].,teacher,17,0,,,0.0,إذا قمت بقطع الجزء العلوي إلى النصف يجب عليك قطع [الجهاز غير السمعي] إلى النصف [الجهاز غير السمعي].
[Inaudible].,student,1,0,,,,[غير مسموع].
So can you read me number 3.,teacher,7,0,,,0.0,لذا هل يمكنك أن تقرأ لي رقم 3.
"Oh yeah, thanks.",student,3,0,,,,أجل، شكراً
That’s okay.  You can skip around.  It just needs to all get done.,teacher,13,0,,,0.0,لا بأس، يمكنك القفز فقط يجب أن تنتهي كل شيء
"A pizza is cut into 12 equal pieces.  Alexander eats one-third of the pizza.  Rachel eats one-fourth of the pizza, and Charley eats one-twelfth of the pizza.  What fraction of pizza did they have left?",student,35,1,,0.0,,تُقطع البيتزا إلى 12 قطعة متساوية. ألكسندر يأكل ثلث البيتزا. راشيل يأكل ربع البيتزا، وتشارلي يأكل اثنا عشر من البيتزا. كم جزء من البيتزا بقي لهم؟
Good.  So what can you do with all the fractions?,teacher,10,1,1.0,,1.0,حسناً، ما الذي يمكنك فعله بكل هذه الكسور؟
Make a picture?,student,3,0,,,,إلتقاط صورة؟
"You could make a picture.  That might be a little tricky. Well, it’s telling you that total they eat a pizza, right? Student R, do you need to go take 5?  You seem a little grumpy for no reason.  Do you need help, because there’s another way to ask for it. Okay, so you cut it into thirds right now for the first one.",teacher,64,1,,,0.0,يمكنك أن تقوم بتصوير صورة. قد يكون ذلك صعباً قليلاً. حسناً، فهذا يخبرك أن مجموعهم يأكلون بيتزا، أليس كذلك؟ الطالب R، هل تحتاج إلى الذهاب للخمسة؟ تبدين قاسية قليلاً دون سبب. هل تحتاج إلى المساعدة، لأن هناك طريقة أخرى لطلب ذلك. حسناً، إذاً قم بتقليصها إلى ثلثات الآن لأول مرة.
Yeah.,student,1,0,,,,-أجل، أجل
"They’re all doing one pizza, right?  Okay, so go ahead.",teacher,10,0,,,0.0,جميعهم يقومون بـ (بيتزا) واحدة، صحيح؟
The one that’s the most is total so I have to cut it in 12 pieces.,student,16,1,,0.0,,الذي هو الأكثر هو إجمالي لذلك يجب علي قطعها في 12 قطعة.
Okay.  Do you have 12 pieces?,teacher,6,0,1.0,,1.0,حسناً، هل لديك 12 قطعة؟
"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12.",student,12,0,,0.0,,1، 2، 3، 4، 5، 6، 7، 8، 9، 10، 11، 12
Good.  So now are you going to color in what they ate?  How are you going to solve it?  How much did Alexander eat?,teacher,24,0,0.0,,1.0,حسناً، الآن هل ستقوم بتلوين ما أكلوه؟ كيف ستحلين الأمر؟ كم أكله ألكسندر؟
One-third.,student,1,0,,,,ثلث
One-third.  That one…  What did you just shade in?,teacher,9,0,,,0.0,ثلثاً، هذا ما الذي أخفيته للتو؟
One-twelfth.,student,1,0,,,,واحد اثنا عشر.
So is that one-third?,teacher,4,0,,,0.0,إذاً هل هذا ثلث؟
No.  This is one-third.,student,4,0,,,,لا، هذا ثلث
"You could do it this way.  For every 3, one third means one every 3 pieces, she eats 1.",teacher,19,0,,,0.0,يمكنك القيام بذلك بهذه الطريقة. لكل ثلاثة، ثلث يعني واحد لكل ثلاثة قطع، هي تأكل واحدة.
She eats 2 pieces?,student,4,0,,,,هي تأكل قطعتين؟
"No, for every 3 that you count, she eats 1 of them.   1 out of the 3, right? Can you stop please?  Do you need help?  Are you stuck?  You need to use your words, Student D.",teacher,37,0,,,0.0,لا، لكل ثلاثة تَحْسبُونَ، تَأْكلُ واحداً منهم. 1 من الثلاثة، أليس كذلك؟ هل تَستطيعُ التَوَقُّفُ رجاءً؟
I need help.,student,3,0,,,,أنا بحاجة لمساعدة.
"Okay, so she eats a third.  So that would be if we split the pizza into how many equal chunks?",teacher,20,0,,,0.0,حسناً، إذاً هي تأكل ثلثاً، إذاً سيكون ذلك إذا قمنا بتقسيم البيتزا إلى كم قطعة متساوية؟
3.,student,1,0,,,,3 .
"So how do you split 12 pieces into 3 equal pieces?  How do you split the 12 pieces into 3 equal groups?  Make it all darker, there you go.  Make a third darker.  No, not those darker.",teacher,37,1,,,1.0,كيف تقسم 12 قطعة إلى 3 قطع متساوية؟ كيف تقسم 12 قطعة إلى 3 مجموعات متساوية؟ اجعل كل شيء أسود، ها أنت ذا. اجعل الثالث أسود. لا، ليس تلك الأسود.
There you go.,student,3,0,,,,ها أنت ذا
"Okay, how many pieces are in each section now?",teacher,9,0,,,0.0,حسناً، كم عدد الأجزاء في كل قسم الآن؟
4.,student,1,0,,,,4 .
So are they equal?,teacher,4,0,,,0.0,إذاً هل هم متساوون؟
Yes.,student,1,0,,,,-أجل، أجل
"How many are in one-third?  Show me the thirds. So you’re going to look at both of these.  So you’re going to find the total for this, the total for this, and circle which one’s greater.  Either this will be greater or this will be greater, okay?  [Inaudible] to one.  [Inaudible] Sorry. Okay, let’s go about it another way.  Put your head up please.  Another way that you could do it… Well, what fraction do we have total?  What’s our total going to be? A pizza is cut into 12 equal pieces so what’s our whole? What fraction is our whole?  12 out of…",teacher,104,9,,,0.0,كم عدد في الثلث؟ أرني الثلثات. لذا سوف تنظر إلى هذين الاثنين. لذا سوف تجد إجمالي هذا، إجمالي هذا، و الدائرة التي هي أكبر. إما هذا سيكون أكبر أو هذا سيكون أكبر، حسنا؟ [لا يمكن سماع] إلى واحد. [لا يمكن سماع] آسفة. حسنا، دعنا نذهب حول ذلك بطريقة أخرى. رفع رأسك من فضلك. طريقة أخرى يمكنك القيام بذلك ... حسنا، ما هو الجزء الذي لدينا إجمالي؟ ما هو إجمالي لدينا؟
[Inaudible],student,1,0,,,,[غير مسموع]
What?,teacher,1,0,,,0.0,ـ ماذا؟
12 [inaudible] whole.,student,3,1,,,,12 [غير مسموع] كاملة.
"That would be one piece, honey.  How many pieces are there all together?",teacher,13,0,,,0.0,سيكون ذلك قطعة واحدة يا عزيزتي كم قطعة هناك معاً؟
12.,student,1,0,,,,12
"Okay, if you ate all the pizza, how many pieces did you eat?",teacher,13,0,,,0.0,حسناً، إذا أكلت كل البيتزا، كم قطعة أكلت؟
A whole.,student,2,1,,,,ككل.
"You ate a whole, but how many pieces did you eat?",teacher,11,1,,,0.0,أكلت كل شيء، ولكن كم قطعة أكلت؟
"Oh, all of them, 12 pieces!",student,6,0,,,,جميعها 12 قطعة
"So our whole is 12 out of 12, right?  So how many did Alexander eat?",teacher,15,1,1.0,,1.0,إذن مجموعنا هو 12 من 12، صحيح؟
One-third.,student,1,0,,,,ثلث
One-third.  How many did Rachel eat?,teacher,6,0,,,0.0,ثلث، كم أكلت (رايتشل) ؟
One-fourth.,student,1,0,,,,ربع واحد.
So write hers down please.  How many did Charles eat?  Good. Can you write neatly please?  What are we going to do with those?  What can we do with those to find out how much they ate altogether?,teacher,38,0,,,0.0,لذا اكتب لها من فضلك. كم تناول تشارلز؟ جيد. هل يمكنك أن تكتب جيدا من فضلك؟ ماذا سنفعل مع تلك؟ ماذا يمكننا أن نفعل مع تلك لمعرفة كم تناولوا معا؟
Add?,student,1,1,,,,إضافة؟
"Okay, so put your operation between them.  And what’s a factor they all have in common?  Can you put a plus sign please? There’s another one right there.  I’ll come around and check in a minute. Do you want an extra piece of paper to do the work on?",teacher,49,0,,,0.0,حسناً، ضع عمليتك بينهما. وما هو العامل المشترك بينهما؟ هل يمكنك وضع علامة إضافية من فضلك؟ هناك علامة أخرى هناك. سأعود لأفحصها بعد دقيقة. هل تريد قطعة ورق إضافية للعمل عليها؟
No.,student,1,0,,,,-كلا .
So you circled this one’s closer to one whole?,teacher,9,2,,,1.0,إذاً، هل حولت هذه القاعدة أقرب إلى كلية واحدة؟
This one’s closer to one whole.,student,6,1,,,,هذه أقرب إلى كلية واحدة
"Okay, so then circle which one’s closer to a whole with the problem.",teacher,13,2,1.0,,0.0,حسناً، إذن قم بعمل دائرة حول أي منها أقرب إلى الكامل مع المشكلة.
[Inaudible],student,1,0,,,,[غير مسموع]
"Okay, so separate.  Okay, now do the same with this.  There’s two.",teacher,12,0,,,0.0,حسناً، إذاً منفصل، حسناً، الآن افعل الشيء نفسه مع هذا، هناك اثنان.
It’s an avalanche.,student,3,0,,,,إنها ثلج ثلجية
"Where, next door? So did you find it yet?  Sit up.  Which factor do they all come in common, I mean multiples do they all have in common?",teacher,28,1,,,1.0,أين، الجوار؟ هل وجدتها بالفعل؟ أجلس. ما العامل المشترك بينهم جميعاً، أعني، هل لديهم جميعاً مضاعفات مشتركة؟
12.,student,1,0,,,,12
"12.  So can you make any fractions over here please?  Can you write neatly, because we really don’t have enough room to be writing messy.  They don’t give you a lot of room here so you need to do it neat.  Okay, now write your new fractions please.  So you said this is times 4, so write it right here, your new one.  4 out of…",teacher,66,2,,,0.0,إذاً هل يمكنك صنع أي كسور هنا من فضلك؟ هل يمكنك الكتابة بدقة، لأننا حقاً لا نملك مساحة كافية للكتابة الفوضوية. إنهم لا يعطونك الكثير من المساحة هنا لذا عليك القيام بذلك بدقة. حسناً، الآن اكتب كسورك الجديدة من فضلك.
Can I go to the toilet?,student,6,0,,,,هل يمكنني الذهاب إلى المرحاض؟
"Sure. Okay, 4 out of what?  Student D, 4 out of what?",teacher,12,0,0.0,,0.0,حسناً، أربعة من ماذا؟ الطالب (د) أربعة من ماذا؟
20?,student,1,0,,,,عشرون؟
"Now write your next new fraction.  For the work that we don’t finish, we’ll have to finish it at lunchtime.  I’m just saying anyone that we don’t finish.  Can you write your next new one?  Okay, now what’s your last one?  Good! 2. Okay, now can you add them please?",teacher,50,2,,,0.0,الآن اكتب الجزء الجديد التالي. للعمل الذي لا ننتهيه، يجب أن ننتهيه في وقت الغداء. أنا فقط أقول لأي شخص أننا لا ننتهيه. هل يمكنك كتابة الجزء الجديد التالي الخاص بك؟ حسناً، الآن ما هو الجزء الأخير الخاص بك؟ جيد!
Is it 1 over 12?,student,5,0,,,,هل هو 1 على 12؟
"Yeah, you didn't have to multiply by anything, it was times 1. Can you sit up please?  Body language, remember?  Thank you. Okay, now what do we have when we add them all up?",teacher,34,2,0.0,,0.0,نعم، لم يكن عليك مضاعفة أي شيء، كانت بمقدار 1 يمكنك الجلوس من فضلك؟ لغة الجسم، تذكر؟ شكراً. حسناً، الآن ماذا لدينا عندما نجمعهم جميعاً؟
[Inaudible],student,1,0,,,,[غير مسموع]
"Okay, one minute please. Double-check your answers.",teacher,7,0,,,0.0,حسناً، دقيقة واحدة رجاءً، تحقق من إجاباتك
"I did, [inaudible].",student,3,0,,,,لقد فعلت، [غير مسموع].
"Okay, they ate 8 out of 12, right?  That’s how much they ate all together.  Now it says what fraction of the pizza did they have left?  So how much is left?",teacher,32,1,,,0.0,حسناً، لقد أكلوا ثمانية من أصل 12، صحيح؟ هذا ما أكلوه جميعاً معاً. الآن تقول كم جزء من البيتزا بقي لهم؟
I don’t know.,student,3,0,,,,أنا لا أعرف.
"Yes, you do.  How many pieces are there?",teacher,8,0,,,0.0,أجل، لديك، كم عدد القطع هناك؟
1/12.,student,1,0,,,,1/12.
"No, how many pieces are there all together?",teacher,8,0,,,0.0,لا، كم عدد الأجزاء هناك معا؟
"None, there’s none.",student,3,0,,,,لا شيء، لا شيء.
"Honey, in the pizza, how many pieces are there?",teacher,9,0,,,0.0,عزيزتي، كم عدد القطع الموجودة في البيتزا؟
"Oh, 12.",student,2,0,,,,أوه، 12
"Okay, and how many did they eat?",teacher,7,0,,,0.0,حسناً، كم عدد الذين أكلوا؟
8.,student,1,0,,,,8
They ate 8 of them.  That’s a good start.  Shade in 8.,teacher,12,0,,,0.0,لقد أكلوا ثمانية منهم، هذا بداية جيدة.
Do we have to do the backside Miss P?,student,9,0,,0.0,,هل يجب أن نقوم بعمل الجانب الخلفي للسيدة بي؟
"No, you’re just doing the front one. Now it says, how many are left?",teacher,14,0,1.0,,0.0,لا، أنتِ فقط تقومين بالمرحلة الأمامية، والآن تقول، كم عدد الباقين؟
4 out of 8.,student,4,0,,,,أربعة من ثمانية
4 out of how many?,teacher,5,0,,,0.0,أربعة من كم عدد؟
4 out of 8 left.,student,5,0,,,,أربعة من ثمانية يسار.
"Okay, there’s 4 pieces left, okay, but out of how many?  How many did we start with, what’s our total?",teacher,20,1,1.0,,0.0,حسناً، هناك 4 قطع متبقية، حسناً، لكن من كم عدد؟ كم عدد البداية، ما هو مجموعنا؟
4 out of 12 left.,student,5,0,,,,4 من 12 يسارا.
"Thank you.  We always put the total that we started with at the bottom, as the denominator.  Our whole was 12.",teacher,21,3,1.0,,0.0,شكرًا لكم. نحن دائماً نضع الإجمالي الذي بدأنا به في الجزء السفلي، كالمعادل. مجموعنا كان 12.
[Inaudible],student,1,0,,,,[غير مسموع]
"Well, you’re supposed to do 4.",teacher,6,0,,,0.0,حسناً، من المفترض أن تفعل 4
I already did 4.,student,4,0,,,,لقد فعلت بالفعل أربعة
"No, you didn't.",teacher,3,0,,,0.0,لا، لم تفعل.
4 was at the bottom.,student,5,0,,,,4 كان في الأسفل.
"That’s 5, sweetie.  5.  4 is right here.",teacher,8,0,1.0,,0.0,هذا 5 يا عزيزي 5.4 هنا
Oooh!,student,1,0,,,,أوه!
"Okay, make this.  It says, “Georgia is a carpenter and she has a piece of wood that is ten feet long.” Can you make her a piece of wood please?  Like draw her a piece of wood.  Draw a piece of wood, yeah.  Good.  Great.  Okay?  Label how long it is, please.  No, label how long the wood is total. Okay.  How much does she use?  Half of the wood for her bookshelf.  So which piece does she use?  Color what she uses for her bookshelf.  So how much is half?",teacher,91,1,,,0.0,حسناً، اصنع هذا. يقول: جورجيا حطامة ولديها قطعة خشب طولها عشر أقدام. هل يمكنك أن تصنع لها قطعة خشبية من فضلك؟ مثل رسمها قطعة خشبية. رسم قطعة خشبية، نعم. جيد. عظيم. حسناً؟ ضع علامة على طولها، من فضلك. لا، ضع علامة على طول الخشب الكلي. حسناً. كم تستخدم؟ نصف الخشب لمرف كتبها. فما هي القطعة التي تستخدمها؟ لون ما تستخدمها لمرف كتبها. فما هو النصف؟
50 percent.,student,2,1,,,,50 في المئة.
