text,speaker,talktime_words,math_density,uptake,student_reasoning,focusing_questions,text_arabic,text_arabic_normalized,talktime_words_arabic,math_density_arabic,has_math_arabic
"Okay.  Teacher’s assistants?  Student W is going to have a piece of paper that says two. Student L is going to have a piece of paper that says one.  Hang on a second guys.  Each of you are going to have a different piece of paper from your partner.  So, Student J is going to have one and Student L is going to have two.  Student J is going to have one and Student L is going to have two. Do you see what I’m talking about?  [Inaudible] is going to have one, Student Y is going to have two. What I want you to do is when you are done with your sheets, it’s the same thing we were doing before, simplest fractions.  I want you to explain to your partner how you got your answer.  Okay?  So I want to hear you using the beautiful words of English and explaining how you got to where you got and how did you solve it.  Okay?  Questions on that?",teacher,169,1,,,0.0,حسناً. مساعدات المعلمين؟ الطالب W سيكون لديه قطعة ورق تقول اثنين. الطالب L سيكون لديه قطعة ورق تقول واحدة. انتظروا ثانيةً يا رفاق. كل واحد منكم سيكون لديه قطعة ورق مختلفة من شريككم. لذا، الطالب J سيكون لديه قطعة ورق واحدة والطالب L سيكون لديه اثنين. الطالب J سيكون لديه واحد والطالب L سيكون لديه اثنين. هل ترى ما أتحدث عنه؟ [غير قابل للسمع] سيكون لديه واحد، الطالب Y سيكون لديه اثنين. ما أريدك أن تفعله هو عندما تنتهي من أوراقك، هو نفس الشيء الذي كنا نفعله من قبل، أسهل الكسور. أريد منك أن تشرح لشريكك كيف حصلت على إجابتك. حسناً؟ لذلك أريد أن أسمعك تستخدم كلمات اللغة الإنجليزية الجميلة وتشرحك كيف وصلت و كيف حللت تلك الأسئلة؟ حسناً؟,حسنا. مساعدات المعلمين؟ الطالب W سيكون لديه قطعه ورق تقول اثنين. الطالب L سيكون لديه قطعه ورق تقول واحده. انتظروا ثانيه يا رفاق. كل واحد منكم سيكون لديه قطعه ورق مختلفه من شريككم. لذا، الطالب J سيكون لديه قطعه ورق واحده والطالب L سيكون لديه اثنين. الطالب J سيكون لديه واحد والطالب L سيكون لديه اثنين. هل تري ما اتحدث عنه؟ [غير قابل للسمع] سيكون لديه واحد، الطالب Y سيكون لديه اثنين. ما اريدك ان تفعله هو عندما تنتهي من اوراقك، هو نفس الشيء الذي كنا نفعله من قبل، اسهل الكسور. اريد منك ان تشرح لشريكك كيف حصلت علي اجابتك. حسنا؟ لذلك اريد ان اسمعك تستخدم كلمات اللغه الانجليزيه الجميله وتشرحك كيف وصلت و كيف حللت تلك الاسئله؟ حسنا؟,112,0.0,False
[Inaudible],student,1,0,,,,[غير مسموع],[غير مسموع],2,0.0,False
"Okay, Student L.",teacher,3,0,,,0.0,حسناً، الطالب (إل),حسنا، الطالب (ال),3,0.0,False
[Inaudible],student,1,0,,,,[غير مسموع],[غير مسموع],2,0.0,False
What?,teacher,1,0,,,0.0,ـ ماذا؟,ماذا؟,2,0.0,False
[Inaudible],student,1,0,,,,[غير مسموع],[غير مسموع],2,0.0,False
Go ahead.  You guys can give it out.,teacher,8,0,,,0.0,هيّا، تستطيعون إعطائه,هيا، تستطيعون اعطائه,3,0.0,False
[Inaudible],student,1,0,,,,[غير مسموع],[غير مسموع],2,0.0,False
"Excellent.  Lights.  Sh! So, put your name on it.  Find the simplest fraction and then shade in, thank you.  Finished?",teacher,20,1,,,0.0,حسناً، أضواء، ضع اسمك عليها، ابحث عن الجزء الأسهل، ثم ضع ظلّاً، شكراً.,حسنا، اضواء، ضع اسمك عليها، ابحث عن الجزء الاسهل، ثم ضع ظلا، شكرا.,13,0.0,False
[Inaudible],student,1,0,,,,[غير مسموع],[غير مسموع],2,0.0,False
And then I want you to shade in the part of the figure that represents your fraction.  Good. Okay.  Okay.  There’s 12 right?  How many do you need to color in?,teacher,31,1,,,0.0,ومن ثم أريدك أن تضع ظلال في الجزء من الرقم الذي يمثل الجزء الخاص بك. جيد. حسنا. حسنا. هناك 12 حق؟ كم تحتاج إلى لون في؟,ومن ثم اريدك ان تضع ظلال في الجزء من الرقم الذي يمثل الجزء الخاص بك. جيد. حسنا. حسنا. هناك 12 حق؟ كم تحتاج الي لون في؟,25,0.0,False
Four.,student,1,0,,,,أربعة.,اربعه.,1,0.0,False
"Uh-huh.  And that’s the same as one third.  Keep going. [Inaudible], you shouldn’t be playing right now.  You’re not in music class.  You’re not a drummer.  Okay? Dropping pencils, Student D.  What do we divide here to get to – two fourth is the same as one fourth?   Oh.  Why did you change it?  You made a mistake?  So then you need to change that. Do you?  Is that one half?  You colored in two out of four? Think about what I’m asking.  You have to color in two out of four which is the same as one half. Did you color in one half?  Color in one half.  Half means in the middle.  Right?  Mm-hm.",teacher,116,1,,,0.0,و هذا هو نفس الثلث. استمر. [لا يمكن سماعها] ، يجب أن لا تعزف الآن. أنت لست في فئة الموسيقى. أنت لست بطار. حسنا؟ إسقاط الأقلام، الطالب D. ما الذي نقسم هنا للوصول إلى  2 ربع هو نفس ربع؟ أوه. لماذا قمت بتغيير ذلك؟ قمت بخطأ؟ لذلك ثم تحتاج إلى تغيير ذلك. هل أنت؟ هل هذا نصف؟ هل قمت بتلوين في اثنين من أربعة؟ فكر في ما أنا أسألك عنه. يجب عليك تلوين في اثنين من أربعة وهو نفس نصف. هل قمت بتلوين في نصف؟ لون في نصف. نصف يعني في الوسط. صحيح؟,و هذا هو نفس الثلث. استمر. [لا يمكن سماعها] ، يجب ان لا تعزف الان. انت لست في فئه الموسيقي. انت لست بطار. حسنا؟ اسقاط الاقلام، الطالب D. ما الذي نقسم هنا للوصول الي 2 ربع هو نفس ربع؟ اوه. لماذا قمت بتغيير ذلك؟ قمت بخطا؟ لذلك ثم تحتاج الي تغيير ذلك. هل انت؟ هل هذا نصف؟ هل قمت بتلوين في اثنين من اربعه؟ فكر في ما انا اسالك عنه. يجب عليك تلوين في اثنين من اربعه وهو نفس نصف. هل قمت بتلوين في نصف؟ لون في نصف. نصف يعني في الوسط. صحيح؟,91,0.03225806451612903,True
[Inaudible],student,1,0,,,,[غير مسموع],[غير مسموع],2,0.0,False
You have to color in one fourth of that whole thing or four sixteenths.  That’s not one fourth.,teacher,18,1,,,0.0,يجب أن تلوين في ربع كل شيء أو أربعة ستة عشر. هذا ليس ربع.,يجب ان تلوين في ربع كل شيء او اربعه سته عشر. هذا ليس ربع.,14,0.21428571428571427,True
[Inaudible],student,1,0,,,,[غير مسموع],[غير مسموع],2,0.0,False
It’s either one fourth or four sixteenths.,teacher,7,0,,,0.0,إما ربع أو أربعة عشر,اما ربع او اربعه عشر,5,0.8,True
"If I color this way, [Inaudible] five?",student,7,0,,,,إذا كنت ألون بهذه الطريقة، [غير قابل للسمع] خمسة؟,اذا كنت الون بهذه الطريقه، [غير قابل للسمع] خمسه؟,9,0.0,False
What?,teacher,1,0,0.0,,0.0,ـ ماذا؟,ماذا؟,2,0.0,False
"If I color five this, [Inaudible] five?",student,7,0,,,,إذا كنت ألون خمسة هذا، [غير سمع] خمسة؟,اذا كنت الون خمسه هذا، [غير سمع] خمسه؟,8,0.125,True
"Where you getting – you have to break this down to the smallest fraction, Student J. No, no.  Forget about coloring.  Break this down to the smallest fraction.",teacher,28,2,1.0,,0.0,حيث تحصل على  يجب أن تقطع هذا إلى الجزء الأصغر، الطالب J. لا، لا. انسى عن التلوين.,حيث تحصل علي يجب ان تقطع هذا الي الجزء الاصغر، الطالب J. لا، لا. انسي عن التلوين.,16,0.0,False
[Inaudible],student,1,0,,,,[غير مسموع],[غير مسموع],2,0.0,False
"That number is not broken down, is it?  Good.  So you color in that.  How many boxes are there?",teacher,19,0,,,0.0,هذا الرقم ليس مقطوعاً، أليس كذلك؟ حسناً، لذا قم بتلوين ذلك. كم عدد الصناديق الموجودة هناك؟,هذا الرقم ليس مقطوعا، اليس كذلك؟ حسنا، لذا قم بتلوين ذلك. كم عدد الصناديق الموجوده هناك؟,16,0.0,False
Ten.,student,1,0,,,,عشرة.,عشره.,1,0.0,False
So then how many are you supposed to color in?,teacher,10,0,,,0.0,إذاً كم من المفترض أن تلوين؟,اذا كم من المفترض ان تلوين؟,6,0.0,False
Five.,student,1,0,,,,خمسة.,خمسه.,1,0.0,False
Really?  That’s a five?,teacher,4,0,,,0.0,حقاً، هل هذا خمسة؟,حقا، هل هذا خمسه؟,4,0.0,False
Four.,student,1,0,,,,أربعة.,اربعه.,1,0.0,False
There you go. Good.  Uh-huh.  You also have to color it in.  Four goes into nine?,teacher,16,0,,,0.0,حسناً، عليك أيضاً أن تلوينها، أربعة تساوي تسعة؟,حسنا، عليك ايضا ان تلوينها، اربعه تساوي تسعه؟,8,0.125,True
[Inaudible],student,1,0,,,,[غير مسموع],[غير مسموع],2,0.0,False
Four goes into nine two times?,teacher,6,0,,,0.0,أربعة تذهب إلى تسعة مرتين؟,اربعه تذهب الي تسعه مرتين؟,5,0.4,True
No.,student,1,0,,,,-كلا .,-كلا .,1,0.0,False
Give me the factors of each of these numbers.,teacher,9,1,,,0.0,أعطني العوامل لكل من هذه الأرقام,اعطني العوامل لكل من هذه الارقام,6,0.0,False
Factor is one.,student,3,0,,,,العامل هو واحد,العامل هو واحد,3,0.0,False
And?,teacher,1,0,,,1.0,-وماذا؟,-وماذا؟,1,0.0,False
Nine.,student,1,0,,,,تسعة,تسعه,1,1.0,True
And?,teacher,1,0,,,1.0,-وماذا؟,-وماذا؟,1,0.0,False
Three?,student,1,0,,,,ثلاثة؟,ثلاثه؟,1,0.0,False
Good.  Sure.  Put them down.  Write them down.  Write them down.   The factors. Good.  And the factors of six.,teacher,19,2,,,0.0,حسناً، بالتأكيد، ضعها، اكتبها، اكتبها، العوامل، جيد، والعوامل السادسة.,حسنا، بالتاكيد، ضعها، اكتبها، اكتبها، العوامل، جيد، والعوامل السادسه.,9,0.0,False
"Two, three, six.",student,3,0,,,,اثنان، ثلاثة، ستة.,اثنان، ثلاثه، سته.,3,0.0,False
What number do they have in common?,teacher,7,0,,,1.0,ما هو عددهم المشترك؟,ما هو عددهم المشترك؟,4,0.0,False
[Nine.],student,1,0,,,,[تسعة.],[تسعه.],1,0.0,False
What number do they both have?,teacher,6,0,,,0.0,ما هو الرقم الذي لديهم؟,ما هو الرقم الذي لديهم؟,5,0.0,False
These ones are even.  These ones are odd.,student,8,0,,0.0,,هذه متساوية هذه غريبة,هذه متساويه هذه غريبه,4,0.0,False
What number do they both have that they share the same factor?,teacher,12,0,0.0,,0.0,ما هو العدد الذي يشترك فيهما في نفس العامل؟,ما هو العدد الذي يشترك فيهما في نفس العامل؟,9,0.0,False
Three.,student,1,0,,,,ثلاثة.,ثلاثه.,1,0.0,False
"Three.  So you have to divide them by three.  So, go ahead.",teacher,12,1,,,0.0,ثلاثة، لذا يجب أن تقسيمها بثلاثة، لذا، هيا.,ثلاثه، لذا يجب ان تقسيمها بثلاثه، لذا، هيا.,8,0.0,False
So I have to divide this by three?,student,8,1,,0.0,,إذاً عليّ تقسيم هذا بثلاثة؟,اذا علي تقسيم هذا بثلاثه؟,5,0.0,False
Mm-hm.  Sh! Okay.  Now you’re getting it.  Okay.,teacher,8,0,1.0,,0.0,حسناً، الآن ستفهمين الأمر,حسنا، الان ستفهمين الامر,4,0.0,False
[Inaudible],student,1,0,,,,[غير مسموع],[غير مسموع],2,0.0,False
"Yep.  Yep, yep.  Is anybody done?  Anybody else?  If you are done, I want you to take those fractions and reduce them to simplest form.",teacher,25,1,,,0.0,نعم، نعم، نعم، هل انتهى أحد؟ هل انتهى أحد آخر؟ إذا انتهيت، أريدك أن تأخذ هذه الكسور وتقللها إلى أبسط شكل.,نعم، نعم، نعم، هل انتهي احد؟ هل انتهي احد اخر؟ اذا انتهيت، اريدك ان تاخذ هذه الكسور وتقللها الي ابسط شكل.,21,0.0,False
[Inaudible],student,1,0,,,,[غير مسموع],[غير مسموع],2,0.0,False
Very good.  You got the right answer.  You don’t understand what?,teacher,11,0,,,0.0,جيد جداً، لديك الإجابة الصحيحة، لا تفهم ماذا؟,جيد جدا، لديك الاجابه الصحيحه، لا تفهم ماذا؟,8,0.0,False
To shade it.,student,3,0,,,,لتظليلها.,لتظليلها.,1,0.0,False
How many pieces are there?,teacher,5,0,,,0.0,كم عدد القطع الموجودة؟,كم عدد القطع الموجوده؟,4,0.0,False
Eight.,student,1,0,,,,ثمانية,ثمانيه,1,1.0,True
So then how many do you have to shade?  To make it the fraction.,teacher,14,1,,,0.0,اذاً كم عدد ما يجب عليك ان تضع الظلال عليه؟,اذا كم عدد ما يجب عليك ان تضع الظلال عليه؟,10,0.0,False
Three.,student,1,0,,,,ثلاثة.,ثلاثه.,1,0.0,False
How many out of eight?,teacher,5,0,,,0.0,كم عدد من ثمانية؟,كم عدد من ثمانيه؟,4,0.0,False
Four.,student,1,0,,,,أربعة.,اربعه.,1,0.0,False
Really?  That’s a four?,teacher,4,0,,,0.0,حقاً، هل هذه أربعة؟,حقا، هل هذه اربعه؟,4,0.0,False
"No, six. I can help her.",student,6,0,,,,لا، ستة يمكنني مساعدتها,لا، سته يمكنني مساعدتها,4,0.25,True
"No, she’s got it.",teacher,4,0,1.0,,0.0,لا، انها حصلت عليه.,لا، انها حصلت عليه.,4,0.0,False
Six.,student,1,0,,,,ستة.,سته.,1,0.0,False
"Thank you, though.  How did you know?",teacher,7,0,,,1.0,شكراً لك، كيف عرفت؟,شكرا لك، كيف عرفت؟,4,0.0,False
[Inaudible],student,1,0,,,,[غير مسموع],[غير مسموع],2,0.0,False
"As the numerator?  If you and your partner are done, you both can share how you solved the problem.  All of them.",teacher,22,1,,,0.0,إذا أنتِ و شريككِ إنتهيتما، يمكنكما أن تشاركما كيف حلتم المشكلة.,اذا انت و شريكك انتهيتما، يمكنكما ان تشاركما كيف حلتم المشكله.,11,0.0,False
[Inaudible],student,1,0,,,,[غير مسموع],[غير مسموع],2,0.0,False
Hm?,teacher,1,0,,,0.0,هل هذا صحيح؟,هل هذا صحيح؟,3,0.0,False
[Inaudible],student,1,0,,,,[غير مسموع],[غير مسموع],2,0.0,False
Do the factors.  Do what we just did.,teacher,8,1,,,0.0,افعل العوامل، افعل ما فعلناه للتو,افعل العوامل، افعل ما فعلناه للتو,6,0.0,False
"One, two, [Inaudible].",student,3,0,,,,واحد، اثنان، [لا يمكن سماع].,واحد، اثنان، [لا يمكن سماع].,5,0.0,False
What number do they share?,teacher,5,0,,,1.0,ما هو الرقم الذي يشاركونه؟,ما هو الرقم الذي يشاركونه؟,5,0.0,False
Four.,student,1,0,,,,أربعة.,اربعه.,1,0.0,False
Four.  Right.,teacher,2,0,,,0.0,أربعة، صحيح,اربعه، صحيح,2,0.0,False
Yeah.,student,1,0,,,,-أجل، أجل,-اجل، اجل,2,0.0,False
Okay.  Four divided by four is four?,teacher,7,1,,,0.0,حسناً، أربعة مقسومة على أربعة هي أربعة؟,حسنا، اربعه مقسومه علي اربعه هي اربعه؟,7,0.2857142857142857,True
[Inaudible] four.,student,2,0,,,,أربعة,اربعه,1,1.0,True
Four divided by four –,teacher,5,1,,,0.0,أربعة مقسمة على أربعة ,اربعه مقسمه علي اربعه,4,0.5,True
Is one.,student,2,0,,,,هو واحد,هو واحد,2,0.0,False
"Yeah.  That’s what you had before.  Why’d you erase it? Student [Inaudible], are you done?  So I want to give you another sheet.  Wait until Student A is done.  No.  No. No, no, no, no, no.  Keep working.  When you and your partner are done, I want to hear you sharing how you solved your problems.",teacher,56,0,,,0.0,نعم. هذا ما كان لديك من قبل. لماذا قمت بحذفه؟ الطالب (لا يمكن سماعه) ، هل انتهيت؟ لذلك أريد أن أعطيك ورقة أخرى. انتظر حتى يتم الطالب A. لا. لا، لا، لا، لا، لا، لا، لا، لا. استمر بالعمل. عندما أنت وشريكك انتهيت، أريد أن أسمعك تقاسم كيف حلت مشاكلك.,نعم. هذا ما كان لديك من قبل. لماذا قمت بحذفه؟ الطالب (لا يمكن سماعه) ، هل انتهيت؟ لذلك اريد ان اعطيك ورقه اخري. انتظر حتي يتم الطالب A. لا. لا، لا، لا، لا، لا، لا، لا، لا. استمر بالعمل. عندما انت وشريكك انتهيت، اريد ان اسمعك تقاسم كيف حلت مشاكلك.,49,0.0,False
[Inaudible],student,1,0,,,,[غير مسموع],[غير مسموع],2,0.0,False
You should know all of them.  Do what we just did in class.,teacher,13,0,,,0.0,يجب أن تعرفهم جميعاً، افعل ما فعلناه في الصف,يجب ان تعرفهم جميعا، افعل ما فعلناه في الصف,9,0.0,False
Can I help [Inaudible]?,student,4,0,,,,هل يمكنني مساعدتك؟,هل يمكنني مساعدتك؟,3,0.0,False
No.  What’s this?  Have you ever seen a fraction like this before?,teacher,12,1,,,0.0,لا، ما هذا؟ هل رأيت قطعة كهذه من قبل؟,لا، ما هذا؟ هل رايت قطعه كهذه من قبل؟,9,0.0,False
No.,student,1,0,,,,-كلا .,-كلا .,1,0.0,False
What number did we use to get to five?  What number did we divide by to get to five?,teacher,19,1,,,0.0,ما هو الرقم الذي استخدمناه للوصول إلى خمسة؟ ما هو الرقم الذي نقسمه للوصول إلى خمسة؟,ما هو الرقم الذي استخدمناه للوصول الي خمسه؟ ما هو الرقم الذي نقسمه للوصول الي خمسه؟,16,0.0,False
Five.,student,1,0,,,,خمسة.,خمسه.,1,0.0,False
Five divided by five is five?,teacher,6,1,,,0.0,خمسة مقسومة على خمسة هي خمسة؟,خمسه مقسومه علي خمسه هي خمسه؟,6,0.3333333333333333,True
No.,student,1,0,,,,-كلا .,-كلا .,1,0.0,False
"You just told me that.  So, what number did we use to get to five from here?  Ten divided by what equals five?",teacher,23,1,,,0.0,لقد أخبرتني للتو، ما هو الرقم الذي استخدمناه للوصول إلى 5 من هنا؟ 10 مقسمة على ما يساوي 5؟,لقد اخبرتني للتو، ما هو الرقم الذي استخدمناه للوصول الي 5 من هنا؟ 10 مقسمه علي ما يساوي 5؟,17,0.05263157894736842,True
Two?,student,1,0,,,,اثنان؟,اثنان؟,1,0.0,False
Yeah.  The same thing we do to the numerator we have to do to the denominator.  So 16 divided by what?,teacher,21,3,,,0.0,نعم، نفس الشيء الذي نقوم به مع العداد يجب أن نقوم به مع القاسم، إذن 16 مقسماً بماذا؟,نعم، نفس الشيء الذي نقوم به مع العداد يجب ان نقوم به مع القاسم، اذن 16 مقسما بماذا؟,17,0.0,False
[Inaudible],student,1,0,,,,[غير مسموع],[غير مسموع],2,0.0,False
"Sixteen divided by two is seven?  Ah!  That’s a little bit better.  So, 16 divided by two is what?  Sixteen divided by two is what?",teacher,25,3,,,0.0,ستة عشر مقسمة على اثنين هو سبعة؟ آه! هذا أفضل قليلا. إذاً، ستة عشر مقسمة على اثنين ما هو؟ ستة عشر مقسمة على اثنين ما هو؟,سته عشر مقسمه علي اثنين هو سبعه؟ اه! هذا افضل قليلا. اذا، سته عشر مقسمه علي اثنين ما هو؟ سته عشر مقسمه علي اثنين ما هو؟,26,0.34615384615384615,True
Eight.,student,1,0,,,,ثمانية,ثمانيه,1,1.0,True
There we go.  Excellent.,teacher,4,0,,,0.0,ها نحن ذا، ممتاز,ها نحن ذا، ممتاز,4,0.0,False
[Inaudible],student,1,0,,,,[غير مسموع],[غير مسموع],2,0.0,False
Hm?,teacher,1,0,,,0.0,هل هذا صحيح؟,هل هذا صحيح؟,3,0.0,False
[Inaudible],student,1,0,,,,[غير مسموع],[غير مسموع],2,0.0,False
"Student J, come over here.  How many are you supposed to color in out of six?",teacher,16,0,,,0.0,الطالب (جاي) ، تعال إلى هنا، كم من المفترض أن تلوين من ستة؟,الطالب (جاي) ، تعال الي هنا، كم من المفترض ان تلوين من سته؟,13,0.0,False
Six.,student,1,0,,,,ستة.,سته.,1,0.0,False
How many are you supposed to color out of six?,teacher,10,0,,,0.0,كم من المفترض أن تلوين من ستة؟,كم من المفترض ان تلوين من سته؟,7,0.0,False
Three?,student,1,0,,,,ثلاثة؟,ثلاثه؟,1,0.0,False
That’s a three?,teacher,3,0,,,0.0,هل هذا ثلاثة؟,هل هذا ثلاثه؟,3,0.0,False
Four. [Inaudible],student,2,0,,,,أربعة.,اربعه.,1,0.0,False
"I know.   That’s why I was like, “Why’d you erase it?”  And what’s wrong with this one?  Let’s divide it.  What’s wrong with this one?",teacher,25,1,,,0.0,أعلم، لهذا السبب قلت، لماذا قمت بحذفها؟ وما الخطأ في هذه؟ لنقسمها. ما الخطأ في هذه؟,اعلم، لهذا السبب قلت، لماذا قمت بحذفها؟ وما الخطا في هذه؟ لنقسمها. ما الخطا في هذه؟,16,0.0,False
[Inaudible],student,1,0,,,,[غير مسموع],[غير مسموع],2,0.0,False
I’m not talking about this.  I’m talking about the fraction. What’s wrong with the fraction?,teacher,15,2,,,0.0,أنا لا أتحدث عن هذا أنا أتحدث عن الجزء ما الخطأ في الجزء؟,انا لا اتحدث عن هذا انا اتحدث عن الجزء ما الخطا في الجزء؟,13,0.0,False
The half of 14 is 7.,student,6,0,,,,نصف 14 هو 7.,نصف 14 هو 7.,2,0.25,True
Half of seven is one?,teacher,5,0,1.0,,0.0,نصف سبعة واحد؟,نصف سبعه واحد؟,3,0.6666666666666666,True
No.,student,1,0,,,,-كلا .,-كلا .,1,0.0,False
What you do to the numerator you have to do to the denominator. Seven divided by what equals one?,teacher,19,3,,,0.0,ما تفعله مع العداد يجب أن تفعله مع القاسم 7 مقسومًا على ما يساوي 1,ما تفعله مع العداد يجب ان تفعله مع القاسم 7 مقسوما علي ما يساوي 1,13,0.06666666666666667,True
Seven divided by two?,student,4,1,,,,سبعة مقسمة على اثنين؟,سبعه مقسمه علي اثنين؟,4,0.25,True
Seven divided by two is one?  Are you guys done?,teacher,10,1,,,0.0,سبعة مقسومة على اثنين هي واحد؟ هل انتهيتم يا رفاق؟,سبعه مقسومه علي اثنين هي واحد؟ هل انتهيتم يا رفاق؟,10,0.1,True
[Inaudible],student,1,0,,,,[غير مسموع],[غير مسموع],2,0.0,False
Okay.,teacher,1,0,,,0.0,-حسناً,-حسنا,1,0.0,False
Seven divided by three is one.,student,6,1,,,,سبعة مقسومة بثلاثة هي واحد,سبعه مقسومه بثلاثه هي واحد,5,0.2,True
"Really?  So we have seven and we have three.  And that equals one?  Yeah?  Do the math.  No, no, no, no.   And then what’s left over?",teacher,26,0,1.0,,0.0,حقاً؟ إذن لدينا سبعة و لدينا ثلاثة. وهذا يساوي واحد؟ نعم؟ قم بالحساب. لا، لا، لا، لا. وماذا تبقى بعد ذلك؟,حقا؟ اذن لدينا سبعه و لدينا ثلاثه. وهذا يساوي واحد؟ نعم؟ قم بالحساب. لا، لا، لا، لا. وماذا تبقي بعد ذلك؟,21,0.09523809523809523,True
Four.,student,1,0,,,,أربعة.,اربعه.,1,0.0,False
Do you ever see a remainder on a fraction?,teacher,9,2,,,0.0,هل رأيتِ أيّ وقت مضى بقية على جزء؟,هل رايت اي وقت مضي بقيه علي جزء؟,8,0.0,False
No.,student,1,0,,,,-كلا .,-كلا .,1,0.0,False
Do you think you’re gonna get a remainder in a fraction?,teacher,11,2,,,0.0,هل تعتقد أنك ستحصل على بقية في جزء؟,هل تعتقد انك ستحصل علي بقيه في جزء؟,8,0.0,False
No.,student,1,0,,,,-كلا .,-كلا .,1,0.0,False
What are the factors for seven?,teacher,6,1,,,0.0,ما هي العوامل السبعة؟,ما هي العوامل السبعه؟,4,0.0,False
[Inaudible],student,1,0,,,,[غير مسموع],[غير مسموع],2,0.0,False
"Hang on a second, [Inaudible].",teacher,5,0,,,0.0,انتظر لحظة، [لا يمكن سماع].,انتظر لحظه، [لا يمكن سماع].,5,0.0,False
[One.]  Three.,student,2,0,,,,ثلاثة.,ثلاثه.,1,0.0,False
Three goes into seven evenly?  Sh!,teacher,6,0,,,0.0,ثلاثة يصل إلى سبعة بالتساوي؟,ثلاثه يصل الي سبعه بالتساوي؟,5,0.4,True
Two.,student,1,0,,,,اثنان.,اثنان.,1,0.0,False
"Good.  You finished your simplest forms sheet.  So, Student A, you can go get a sheet, too.  They’re over there.",teacher,20,0,,,0.0,حسناً، لقد أنهيت أسهل ورقة الأوراق، لذا، الطالب الأول، يمكنك أن تذهب وتحضر ورقة أيضاً.,حسنا، لقد انهيت اسهل ورقه الاوراق، لذا، الطالب الاول، يمكنك ان تذهب وتحضر ورقه ايضا.,15,0.0,False
[Inaudible],student,1,0,,,,[غير مسموع],[غير مسموع],2,0.0,False
"Student J, factors means a number that goes into this number evenly.  No remainder.",teacher,14,2,,,0.0,الطالب J، العوامل تعني رقم يذهب إلى هذا الرقم بشكل متساوي. لا بقي.,الطالب J، العوامل تعني رقم يذهب الي هذا الرقم بشكل متساوي. لا بقي.,13,0.0,False
Seven one more time.,student,4,0,,,,سبعة مرة أخرى.,سبعه مره اخري.,3,0.3333333333333333,True
"That’s it, right?  What numbers go into 14?",teacher,8,0,,,0.0,هذا كل شيء، أليس كذلك؟ أي أرقام تذهب إلى 14؟,هذا كل شيء، اليس كذلك؟ اي ارقام تذهب الي 14؟,10,0.0,False
One.  Seven.  Two.  And 14.,student,5,0,,,,واحد، سبعة، اثنان، و14,واحد، سبعه، اثنان، و14,4,0.0,False
What number do they have the same?,teacher,7,0,0.0,,1.0,أي رقم لديهم هو نفسه؟,اي رقم لديهم هو نفسه؟,5,0.0,False
Seven.,student,1,0,,,,سبعة.,سبعه.,1,0.0,False
So we have to divide by seven.  Which is what?,teacher,10,1,,,0.0,اذاً علينا ان نقسم بـ7,اذا علينا ان نقسم ب7,5,0.0,False
Seven.,student,1,0,,,,سبعة.,سبعه.,1,0.0,False
Seven divided by seven is seven?,teacher,6,1,,,0.0,سبعة مقسومة على سبعة هي سبعة؟,سبعه مقسومه علي سبعه هي سبعه؟,6,0.3333333333333333,True
Fourteen?  [Inaudible],student,2,0,,,,أربعة عشر؟,اربعه عشر؟,2,0.5,True
It’s division.  Not multiplication.,teacher,4,2,,,0.0,إنها تقسيم وليس مضاعفة,انها تقسيم وليس مضاعفه,4,0.0,False
And not addition.,student,3,1,,,,وليس إضافة.,وليس اضافه.,2,0.0,False
Division.,teacher,1,1,,,0.0,القسم,القسم,1,0.0,False
How many times does seven go into seven? One time.,student,10,0,,0.0,,كم مرة يدخل سبعة إلى سبعة؟,كم مره يدخل سبعه الي سبعه؟,6,0.16666666666666666,True
How many times does 14 go into – seven go into 14?,teacher,12,0,1.0,,0.0,كم مرة يذهب 14 إلى  7 يذهب إلى 14؟,كم مره يذهب 14 الي 7 يذهب الي 14؟,7,0.0,False
Two times. So what answer goes there? Two.,student,8,0,,0.0,,مرتين، ما هي الإجابة؟,مرتين، ما هي الاجابه؟,4,0.0,False
Yep.,teacher,1,0,0.0,,0.0,-أجل .,-اجل .,1,0.0,False
[Inaudible],student,1,0,,,,[غير مسموع],[غير مسموع],2,0.0,False
What are the factors for three?,teacher,6,1,,,0.0,ما هي العوامل الثلاثة؟,ما هي العوامل الثلاثه؟,4,0.0,False
"One, two.",student,2,0,,,,واحد، اثنان.,واحد، اثنان.,2,0.0,False
Two goes into three?,teacher,4,0,,,0.0,اثنان يذهب الى ثلاثة؟,اثنان يذهب الي ثلاثه؟,4,0.25,True
Three.,student,1,0,,,,ثلاثة.,ثلاثه.,1,0.0,False
What are the factors for nine?,teacher,6,1,,,0.0,ما هي العوامل التي تؤدي إلى تسعة؟,ما هي العوامل التي تؤدي الي تسعه؟,7,0.0,False
"One, three.  No.  Nine.  Three.",student,5,0,,,,واحد، ثلاثة، لا، تسعة، ثلاثة,واحد، ثلاثه، لا، تسعه، ثلاثه,5,0.2,True
Good.  What do they have the same?,teacher,7,0,0.0,,1.0,جيد، ماذا لديهم مشترك؟,جيد، ماذا لديهم مشترك؟,4,0.0,False
Three.,student,1,0,,,,ثلاثة.,ثلاثه.,1,0.0,False
Three.  So how many times does three go into three?,teacher,10,0,,,0.0,ثلاثة، كم مرة يصل ثلاثة إلى ثلاثة؟,ثلاثه، كم مره يصل ثلاثه الي ثلاثه؟,7,0.14285714285714285,True
