text,speaker,talktime_words,math_density,uptake,student_reasoning,focusing_questions,text_arabic,text_arabic_normalized,talktime_words_arabic,math_density_arabic,has_math_arabic,session_id
Understanding the question.,student,3,0,,,,فهم السؤال.,فهم السؤال.,2,0.0,False,7
Very good.  All right.  Yes?,teacher,5,0,,,0.0,جيد جداً، حسناً، أجل,جيد جدا، حسنا، اجل,4,0.0,False,7
"I think to solve the problem, to know if it is less or more than the whole number you could use a percentage like turn both fractions into percent and add them and see what –",student,36,5,,0.0,,أعتقد أنه لحل المشكلة، لمعرفة ما إذا كان أقل أو أكثر من العدد الكامل يمكنك استخدام نسبة مثل تحويل كليهما إلى نسبة ونضيفهما ونرى ما ,اعتقد انه لحل المشكله، لمعرفه ما اذا كان اقل او اكثر من العدد الكامل يمكنك استخدام نسبه مثل تحويل كليهما الي نسبه ونضيفهما ونري ما,25,0.12,True,7
"Okay so you hear what he said?  Okay.  Student E, what did he say?",teacher,14,0,1.0,,1.0,حسناً، هل سمعت ما قاله؟ حسناً، الطالب (اي) ، ماذا قال؟,حسنا، هل سمعت ما قاله؟ حسنا، الطالب (اي) ، ماذا قال؟,11,0.0,False,7
He said that you need to change the two fractions into percentage and add them.,student,15,3,,0.0,,قال أنك تحتاج إلى تغيير الفروقتين إلى نسبة مئوية وأضافها.,قال انك تحتاج الي تغيير الفروقتين الي نسبه مئويه واضافها.,10,0.2,True,7
Okay and then that would give you an idea.  Okay. Right but that’s what they’re saying.  That’s what they’re saying to do.  All right.  So two-eighths and she said it’s 37.  What did you say?,teacher,35,0,1.0,,1.0,حسناً، وهذا يعطيك فكرة. حسناً. حسناً، لكن هذا ما يقالونه. هذا ما يقالونه. حسناً. إذاً ثمانية ثمانية، وقالت إنها 37، ماذا قلت؟,حسنا، وهذا يعطيك فكره. حسنا. حسنا، لكن هذا ما يقالونه. هذا ما يقالونه. حسنا. اذا ثمانيه ثمانيه، وقالت انها 37، ماذا قلت؟,22,0.0454545454545454,True,7
Thirty-seven-and-a-half.,student,1,0,,,,سبعة وثلاثون ونصف,سبعه وثلاثون ونصف,3,0.3333333333333333,True,7
Thirty-seven and one half plus 25 percent so we know its’ going to be less than –,teacher,17,1,,,0.0,37 ونصف زائد 25 ٪ لذلك نحن نعلم ان  سوف تكون أقل من ,37 ونصف زائد 25 ٪ لذلك نحن نعلم ان سوف تكون اقل من,11,0.0769230769230769,True,7
Less than one.,student,3,0,,,,أقل من واحد,اقل من واحد,3,0.0,False,7
Less than one right?,teacher,4,0,,,0.0,أقل من واحد، صحيح؟,اقل من واحد، صحيح؟,4,0.0,False,7
Thirty-two and one half percent.,student,5,1,,,,32 ونصف بالمئة,32 ونصف بالمئه,2,0.0,False,7
Right.,teacher,1,0,0.0,,0.0,-حسناً,-حسنا,1,0.0,False,7
[Inaudible],student,1,0,,,,[غير مسموع],[غير مسموع],2,0.0,False,7
All right.  So we understand now?  All right.  So are you guys ready to work?,teacher,15,0,,,0.0,حسناً، هل فهمنا الآن؟ حسناً، هل أنتم مستعدون للعمل؟,حسنا، هل فهمنا الان؟ حسنا، هل انتم مستعدون للعمل؟,9,0.0,False,7
Yeah.,multiple students,1,0,,,,-أجل، أجل,-اجل، اجل,2,0.0,False,7
"All right so let’s – all right.  Okay, now we need to make this boom – okay.  Somebody say what do we need to find?",teacher,25,0,,,0.0,حسناً، دعونا نعمل على هذا الانفجار حسناً، أخبرني أحد ما الذي نحتاج إليه؟,حسنا، دعونا نعمل علي هذا الانفجار حسنا، اخبرني احد ما الذي نحتاج اليه؟,13,0.0,False,7
Lowest common multiple.,multiple students,3,1,,,,أدنى مضاعف شائع,ادني مضاعف شائع,3,0.0,False,7
Lowest common.  So you guys know something.  Okay.  All right. How do you –what’s easy to do?  I mean if you could – what’s easy to do?,teacher,27,0,,,1.0,أقل شيوعًا. إذاً أنتم تعرفون شيئاً. حسناً. حسناً. كيف يمكنك فعل ما هو سهل؟ أعني إذا استطعتم فعل ما هو سهل؟,اقل شيوعا. اذا انتم تعرفون شيئا. حسنا. حسنا. كيف يمكنك فعل ما هو سهل؟ اعني اذا استطعتم فعل ما هو سهل؟,21,0.0,False,7
I know.,student,2,0,,,,-أعلم ذلك,-اعلم ذلك,2,0.0,False,7
Listen.  I only got two more minutes and then you guys are gonna pick up the shovel and get to work.  All right. Student E and then Student F.,teacher,29,0,,,0.0,اسمع، لديّ دقيقتان فقط بعد ذلك ستلتقطون المنجرة و ستبدأون بالعمل، الطالب (إي) ثم الطالب (ف),اسمع، لدي دقيقتان فقط بعد ذلك ستلتقطون المنجره و ستبداون بالعمل، الطالب (اي) ثم الطالب (ف),16,0.0,False,7
You can – first you need to add the – you need to get to the number you want first.,student,20,1,,0.0,,يمكنك  أولا تحتاج إلى إضافة  تحتاج إلى الوصول إلى الرقم الذي تريده أولا.,يمكنك اولا تحتاج الي اضافه تحتاج الي الوصول الي الرقم الذي تريده اولا.,13,0.0769230769230769,True,7
What do you mean?,teacher,4,0,0.0,,1.0,ما الذي تعنيه؟,ما الذي تعنيه؟,3,0.0,False,7
Like you need to –,student,5,0,,,,مثلما تحتاجين,مثلما تحتاجين,2,0.0,False,7
"Student F is going to help you out.  Student F, help him out.",teacher,13,0,0.0,,0.0,الطالب (ف) سيساعدك الطالب (ف) ساعده,الطالب (ف) سيساعدك الطالب (ف) ساعده,6,0.0,False,7
You can find the multiple by doing – finding the multiples of the number.,student,14,2,,0.0,,يمكنك العثور على المتعدد عن طريق عمل  العثور على المتعددات من الرقم.,يمكنك العثور علي المتعدد عن طريق عمل العثور علي المتعددات من الرقم.,12,0.0,False,7
What number would you choose first?,teacher,6,0,0.0,,1.0,أي رقم ستختارينه أولاً؟,اي رقم ستختارينه اولا؟,4,0.0,False,7
I choose eight.,student,3,0,,,,اخترت ثمانية,اخترت ثمانيه,2,0.5,True,7
Eight?,teacher,1,0,,,0.0,ثمانية؟,ثمانيه؟,1,0.0,False,7
"No, no, four.",student,3,0,,,,لا، لا، أربعة.,لا، لا، اربعه.,3,0.0,False,7
Four?,teacher,1,0,,,0.0,أربعة؟,اربعه؟,1,0.0,False,7
Eight.,student,1,0,,,,ثمانية,ثمانيه,1,1.0,True,7
Eight?,teacher,1,0,,,0.0,ثمانية؟,ثمانيه؟,1,0.0,False,7
Twelve.,student,1,0,,,,اثني عشر,اثني عشر,2,0.5,True,7
"Twelve. Four, eight, twelve.  And then – [inaudible]",teacher,8,0,,,0.0,اثنا عشر. أربعة، ثمانية، اثنا عشر. ثم  [غير مسموع],اثنا عشر. اربعه، ثمانيه، اثنا عشر. ثم [غير مسموع],9,0.0,False,7
Eight.,student,1,0,,,,ثمانية,ثمانيه,1,1.0,True,7
You guys [inaudible].,teacher,3,0,,,0.0,أنتم يا رفاق [غير مستمع].,انتم يا رفاق [غير مستمع].,5,0.0,False,7
Sixteen.,student,1,0,,,,ستة عشر,سته عشر,2,1.5,True,7
What do you notice right away?,teacher,6,0,,,1.0,ماذا لاحظت على الفور؟,ماذا لاحظت علي الفور؟,4,0.0,False,7
Eight.,multiple students,1,0,,,,ثمانية,ثمانيه,1,1.0,True,7
All right.  So I’m going to –,teacher,7,0,,,0.0,حسناً، لذا سأذهب,حسنا، لذا ساذهب,3,0.0,False,7
Circle the eight.,student,3,1,,,,حلقة الثامنة.,حلقه الثامنه.,2,0.0,False,7
"Boom.  All right, so you see three-eighths?",teacher,7,0,,,0.0,حسناً، هل ترى ثلث ثمانية؟,حسنا، هل تري ثلث ثمانيه؟,5,0.2,True,7
Yes.,multiple students,1,0,,,,-أجل، أجل,-اجل، اجل,2,0.0,False,7
"Three-eighths, right?",teacher,2,0,,,0.0,ثلاثة ثمانية، أليس كذلك؟,ثلاثه ثمانيه، اليس كذلك؟,4,0.25,True,7
Yeah.,multiple students,1,0,,,,-أجل، أجل,-اجل، اجل,2,0.0,False,7
What number – what goes here?,teacher,6,0,,,0.0,ما هو الرقم؟ ما الذي يكتب هنا؟,ما هو الرقم؟ ما الذي يكتب هنا؟,7,0.0,False,7
Eight.,multiple students,1,0,,,,ثمانية,ثمانيه,1,1.0,True,7
"So I need to put something here, a number here that’s going to be equivalent –",teacher,16,1,,,0.0,لذا أنا بحاجة لوضع شيء هنا، رقم هنا,لذا انا بحاجه لوضع شيء هنا، رقم هنا,8,0.0,False,7
Two.,multiple students,1,0,,,,اثنان.,اثنان.,1,0.0,False,7
- to one-fourth.,teacher,3,0,,,0.0,-إلى ربع,-الي ربع,2,0.5,True,7
Two.,multiple students,1,0,,,,اثنان.,اثنان.,1,0.0,False,7
Okay.  You sure?,teacher,3,0,,,0.0,حسناً، هل أنت متأكد؟,حسنا، هل انت متاكد؟,4,0.0,False,7
Yes.,multiple students,1,0,,,,-أجل، أجل,-اجل، اجل,2,0.0,False,7
All right.,teacher,2,0,,,0.0,-حسناً,-حسنا,1,0.0,False,7
Two.,student,1,0,,,,اثنان.,اثنان.,1,0.0,False,7
All right.  Stop.  I’m not sure if that’s correct.  What can I do?  Go.  Stop.  I’m not sure.  What can you do?,teacher,22,0,,,0.0,حسناً، توقف، لست متأكداً إن كان هذا صحيحاً، ماذا يمكنني أن أفعل؟ اذهب، توقف، لست متأكداً، ماذا يمكنك أن تفعل؟,حسنا، توقف، لست متاكدا ان كان هذا صحيحا، ماذا يمكنني ان افعل؟ اذهب، توقف، لست متاكدا، ماذا يمكنك ان تفعل؟,20,0.0,False,7
Two goes into eight – Or you could multiply.,student,9,1,,1.0,,اثنان يساوي ثمانية  أو يمكنك مضاعفة,اثنان يساوي ثمانيه او يمكنك مضاعفه,6,0.5,True,7
I’m sorry.,teacher,2,0,0.0,,0.0,أنا آسفة.,انا اسفه.,2,0.0,False,7
Two goes into two one time.,student,6,0,,,,اثنان يذهب إلى اثنين مرة واحدة.,اثنان يذهب الي اثنين مره واحده.,6,0.1666666666666666,True,7
So what do you call what you just did? Okay.  So –,teacher,12,0,0.0,,1.0,إذاً كيف تسمي ما فعلته للتو؟ حسناً.,اذا كيف تسمي ما فعلته للتو؟ حسنا.,7,0.0,False,7
You could change it to percentage.,student,6,1,,,,يمكنك تغييرها إلى نسبة مئوية.,يمكنك تغييرها الي نسبه مئويه.,5,0.2,True,7
"All right but right now – see that’s the thing.  One thing about you guys, don’t start turning everything percent because – do you remember how one time we were doing a problem and what did they ask you?  You had a mistake. They asked you to do what/",teacher,49,1,1.0,,0.0,حسناً، لكن الآن، انظروا، هذا هو الأمر. شيء واحد حولكم يا رفاق، لا تبدأون في تحويل كل شيء بنسبة مئوية لأنه هل تتذكرون كيف كنا في وقت ما نقوم بمشكلة وماذا سألوكم؟ كان لديك خطأ.,حسنا، لكن الان، انظروا، هذا هو الامر. شيء واحد حولكم يا رفاق، لا تبداون في تحويل كل شيء بنسبه مئويه لانه هل تتذكرون كيف كنا في وقت ما نقوم بمشكله وماذا سالوكم؟ كان لديك خطا.,35,0.0285714285714285,True,7
[Inaudible],student,1,0,,,,[غير مسموع],[غير مسموع],2,0.0,False,7
Into what?,teacher,2,0,,,0.0,إلى ماذا؟,الي ماذا؟,2,0.0,False,7
Into a fraction.,student,3,1,,,,إلى جزء صغير,الي جزء صغير,3,0.0,False,7
Into a fraction.  And what do you do?,teacher,8,1,,,1.0,إلى جزء صغير ماذا تفعل؟,الي جزء صغير ماذا تفعل؟,5,0.0,False,7
I turned it into a percent.,student,6,1,,,,لقد حولته إلى نسبة مئوية,لقد حولته الي نسبه مئويه,5,0.4,True,7
See what I mean?  You gotta be careful what it is they are asking you to do.  Now are there any problems?,teacher,22,0,0.0,,0.0,يجب أن تكون حذراً مما يطلبون منك فعله هل هناك أي مشاكل الآن؟,يجب ان تكون حذرا مما يطلبون منك فعله هل هناك اي مشاكل الان؟,13,0.0,False,7
No.,multiple students,1,0,,,,-كلا .,-كلا .,1,0.0,False,7
"Okay, so then we are going to – wait a minute.  Three plus two, right?",teacher,15,0,,,0.0,حسناً، إذاً سننتظر دقيقة، ثلاثة زائد اثنان، صحيح؟,حسنا، اذا سننتظر دقيقه، ثلاثه زائد اثنان، صحيح؟,8,0.25,True,7
Yeah.,student,1,0,,,,-أجل، أجل,-اجل، اجل,2,0.0,False,7
So it’s going to be five –,teacher,7,0,,,0.0,اذاً سيكون خمسة,اذا سيكون خمسه,3,0.3333333333333333,True,7
Five-eighths.,multiple students,1,0,,,,خمسة ثمانية.,خمسه ثمانيه.,2,0.5,True,7
Five-eighths.  Boom.  And we’re done.  Okay.  We can’t simplify it because five goes into five one time.  We can’t do it. Okay.  Now this is the time.  I know some of you people are not in the frame but I could talk to you because I don’t want anybody to get into trouble.  But this is the time; does anybody have any questions they want to ask?  They say [inaudible] I’m not really sure about this situation right here.  Or I’m not sure.  Yes.,teacher,84,1,,,0.0,خمسة ثمانية. بوم. ونحن انتهينا. حسناً. لا يمكننا تبسيط الأمر لأن خمسة يذهب إلى خمسة في وقت واحد. لا يمكننا القيام بذلك. حسناً. الآن هذا هو الوقت. أعلم أن بعضكم ليس في الإطار ولكن يمكنني التحدث إليكم لأنني لا أريد لأحد أن يقع في مشكلة. ولكن هذا هو الوقت؛ هل لدى أي شخص أي أسئلة يريد طرحها؟ يقولون [غير مستمع] أنا لست متأكداً حقاً من هذا الوضع هنا. أو لست متأكداً. نعم.,خمسه ثمانيه. بوم. ونحن انتهينا. حسنا. لا يمكننا تبسيط الامر لان خمسه يذهب الي خمسه في وقت واحد. لا يمكننا القيام بذلك. حسنا. الان هذا هو الوقت. اعلم ان بعضكم ليس في الاطار ولكن يمكنني التحدث اليكم لانني لا اريد لاحد ان يقع في مشكله. ولكن هذا هو الوقت؛ هل لدي اي شخص اي اسئله يريد طرحها؟ يقولون [غير مستمع] انا لست متاكدا حقا من هذا الوضع هنا. او لست متاكدا. نعم.,72,0.0555555555555555,True,7
I don’t really understanding it.,student,5,0,,,,أنا لا أفهم ذلك حقاً,انا لا افهم ذلك حقا,5,0.0,False,7
What are you bringing to the table?  You say you don’t really understand it.  What do you bring to the table?,teacher,21,0,1.0,,0.0,ما الذي تحضره إلى الطاولة؟ تقول أنك لا تفهم حقاً ما الذي تحضره إلى الطاولة؟,ما الذي تحضره الي الطاوله؟ تقول انك لا تفهم حقا ما الذي تحضره الي الطاوله؟,15,0.0,False,7
I bring to the table – I keep getting stuck when I have to add the – when I have to simplify it.,student,23,2,,0.0,,أنا أحضر إلى الطاولة  أنا أظل عالقا عندما يجب أن أضيف  عندما يجب أن تبسيطها.,انا احضر الي الطاوله انا اظل عالقا عندما يجب ان اضيف عندما يجب ان تبسيطها.,15,0.0,False,7
When you have to simplify it?,teacher,6,1,1.0,,0.0,عندما يجب عليك تبسيطها؟,عندما يجب عليك تبسيطها؟,4,0.0,False,7
I’m having problems there too.,student,5,0,,,,لدي مشاكل هناك أيضاً,لدي مشاكل هناك ايضا,4,0.0,False,7
"With simplifying?  I’ll tell you what.  Okay, somebody goes me three.",teacher,11,1,0.0,,0.0,مع تبسيط؟ سأخبرك ماذا. حسناً، أحدهم يذهب لي ثلاثة.,مع تبسيط؟ ساخبرك ماذا. حسنا، احدهم يذهب لي ثلاثه.,9,0.0,False,7
Me three.,student,2,0,,,,أنا ثلاثة.,انا ثلاثه.,2,0.0,False,7
"All right.  Now, okay, so you are having problem with simplifying?",teacher,11,1,,,0.0,حسناً، حسناً، إذاً لديك مشكلة في تبسيطها؟,حسنا، حسنا، اذا لديك مشكله في تبسيطها؟,7,0.0,False,7
I am.,student,2,0,,,,أنا كذلك.,انا كذلك.,2,0.0,False,7
All right.  Very good.  But the rest of you guys know how to add them?,teacher,15,1,,,0.0,حسناً، جيد جداً، لكن هل يعرف الباقون كيف يضيفونها؟,حسنا، جيد جدا، لكن هل يعرف الباقون كيف يضيفونها؟,9,0.0,False,7
Yes.,multiple students,1,0,,,,-أجل، أجل,-اجل، اجل,2,0.0,False,7
Okay.  This is what I’m going to do.  Why don’t you get to work and those people having problems simplifying come up to the board?  Not you.  You don’t have a problem simplifying.,teacher,33,2,,,0.0,حسناً، هذا ما سأفعله، لمَ لا تذهب إلى العمل وتأتي هؤلاء الأشخاص الذين يعانون من صعوبة في تبسيط الأمور إلى اللجنة؟ ليس أنت. ليس لديك مشكلة في تبسيط الأمور.,حسنا، هذا ما سافعله، لم لا تذهب الي العمل وتاتي هؤلاء الاشخاص الذين يعانون من صعوبه في تبسيط الامور الي اللجنه؟ ليس انت. ليس لديك مشكله في تبسيط الامور.,29,0.0689655172413793,True,7
"Yeah, simplifying, some of them.  The eights and the sixes.",student,10,1,,0.0,,أجل، تبسيط بعضها، الثمانية والستة.,اجل، تبسيط بعضها، الثمانيه والسته.,5,0.2,True,7
"All right. [We’ll trying solving the problem].  Okay, we’re not doing that remember.  All right.  It’s going to be easy. You guys know how to get the LCM?",teacher,28,1,0.0,,0.0,حسناً، سنحاول حل المشكلة، حسناً، لن نفعل ذلك، تذكر، سيكون الأمر سهلاً، هل تعرفون كيفية الحصول على الـ LCM؟,حسنا، سنحاول حل المشكله، حسنا، لن نفعل ذلك، تذكر، سيكون الامر سهلا، هل تعرفون كيفيه الحصول علي ال LCM؟,19,0.0526315789473684,True,7
Yes.,student,1,0,,,,-أجل، أجل,-اجل، اجل,2,0.0,False,7
"That’s not a problem.  Okay.  So the problem that you people have is if you see something like this right?  Two, four. And what time table do you find these two numbers?",teacher,32,0,,,0.0,هذه ليست مشكلة. حسناً. إذاً المشكلة التي تواجهكم هي إذا رأيتم شيئاً كهذا، صحيح؟ اثنان، أربعة.,هذه ليست مشكله. حسنا. اذا المشكله التي تواجهكم هي اذا رايتم شيئا كهذا، صحيح؟ اثنان، اربعه.,16,0.0,False,7
Right there.,student,2,0,,,,هناك تماماً,هناك تماما,2,0.0,False,7
In the two right?  Two goes into two?,teacher,8,0,,,0.0,في اثنين الحق؟ اثنين يذهب في اثنين؟,في اثنين الحق؟ اثنين يذهب في اثنين؟,7,0.0,False,7
One time.,student,2,0,,,,مرّة واحدة,مره واحده,2,0.0,False,7
Two go into here?,teacher,4,0,,,0.0,اثنان يدخلون هنا؟,اثنان يدخلون هنا؟,3,0.3333333333333333,True,7
Two times.,student,2,0,,,,مرتين,مرتين,1,0.0,False,7
Excuse me.  You need to get busy.  All right.  That’s correct?,teacher,11,0,,,0.0,عذراً، يجب أن تكون مشغولاً، صحيح؟,عذرا، يجب ان تكون مشغولا، صحيح؟,6,0.0,False,7
Yeah.,multiple students,1,0,,,,-أجل، أجل,-اجل، اجل,2,0.0,False,7
"All right.  Let’s go to the three, six.  What time table would you find those two numbers?",teacher,17,0,,,1.0,حسناً، لنذهب إلى ثلاثة، ستة، أي جدول زمني تجد هذين الأرقام؟,حسنا، لنذهب الي ثلاثه، سته، اي جدول زمني تجد هذين الارقام؟,11,0.0909090909090909,True,7
Threes.,multiple students,1,0,,,,ثلاثة,ثلاثه,1,1.0,True,7
So three goes into three?,teacher,5,0,,,1.0,إذاً 3 يساوي 3؟,اذا 3 يساوي 3؟,3,0.25,True,7
One time.,multiple students,2,0,,,,مرّة واحدة,مره واحده,2,0.0,False,7
Three goes here?,teacher,3,0,,,0.0,ثلاثة تذهب إلى هنا؟,ثلاثه تذهب الي هنا؟,4,0.25,True,7
Two times.,multiple students,2,0,,,,مرتين,مرتين,1,0.0,False,7
That’s one half.,student,3,0,,,,هذا نصف,هذا نصف,2,0.5,True,7
All right.  Let’s do another one okay.  Let’s do the six and the nine.  In what time table would you find those two numbers?,teacher,24,0,,,0.0,حسناً، دعونا نقوم بعمل واحد آخر حسناً، دعونا نقوم بعمل ستة وتسعة في أي جدول زمني ستجدين هذين الرقمين؟,حسنا، دعونا نقوم بعمل واحد اخر حسنا، دعونا نقوم بعمل سته وتسعه في اي جدول زمني ستجدين هذين الرقمين؟,19,0.1052631578947368,True,7
Three.,student,1,0,,,,ثلاثة.,ثلاثه.,1,0.0,False,7
What?,teacher,1,0,,,0.0,ـ ماذا؟,ماذا؟,2,0.0,False,7
Threes.,student,1,0,,,,ثلاثة,ثلاثه,1,1.0,True,7
So you –,teacher,3,0,,,0.0,إذاً أنت,اذا انت,2,0.0,False,7
Six two.,student,2,0,,,,ستة اثنان.,سته اثنان.,2,0.5,True,7
Two.,teacher,1,0,,,0.0,اثنان.,اثنان.,1,0.0,False,7
That’s three.,student,2,0,,,,هذا ثلاثة.,هذا ثلاثه.,2,0.0,False,7
You got it?  Okay bye.  Anybody else?,teacher,7,0,,,1.0,حسناً، وداعاً، هل هناك أي شخص آخر؟,حسنا، وداعا، هل هناك اي شخص اخر؟,7,0.0,False,7
Oh.,student,1,0,,,,-أوه .,-اوه .,1,0.0,False,7
You got it?  Okay.  All right.  Anybody else?  Good.  Those people who don’t understand I’ll come to you in a minute. All right.  Let’s get busy.  Look at page – okay stop. Okay.  Stop for a minute.  Look at page – I want you to look at page –,teacher,49,0,,,1.0,هل فهمت؟ حسناً. حسناً. أي شخص آخر؟ جيد. أولئك الأشخاص الذين لا يفهمون سأأتي إليك في دقيقة. حسناً. دعنا نشتغل. انظر إلى الصفحة  حسناً توقف. حسناً. توقف لدقيقة. انظر إلى الصفحة  أريدك أن تنظر إلى الصفحة ,هل فهمت؟ حسنا. حسنا. اي شخص اخر؟ جيد. اولئك الاشخاص الذين لا يفهمون سااتي اليك في دقيقه. حسنا. دعنا نشتغل. انظر الي الصفحه حسنا توقف. حسنا. توقف لدقيقه. انظر الي الصفحه اريدك ان تنظر الي الصفحه,36,0.0,False,7
Forty-nine?,student,1,0,,,,49؟,49؟,1,0.0,False,7
- 49.  Page 49.  What page I say?,teacher,8,0,,,0.0,-صفحة 49، أي صفحة أقول؟,-صفحه 49، اي صفحه اقول؟,5,0.0,False,7
Forty-nine.,multiple students,1,0,,,,أربعين وتسعة,اربعين وتسعه,2,0.0,False,7
"Page 49.  Who wants to read the first problem?  I do.  You guys never let me read.  All right.  [Inaudible] read.  Where are my glasses at?  All right, somebody misplaced my glasses.  All right.  Who wants to read?",teacher,38,0,,,0.0,الصفحة 49 من يريد قراءة المشكلة الأولى؟ أنا كذلك. أنتم لا تدعوني أقرأ أبداً. حسناً. [غير قابل للسمع] قراءة. أين نظاراتي؟ حسناً، شخص ما ضيع نظاراتي. حسناً. من يريد القراءة؟,الصفحه 49 من يريد قراءه المشكله الاولي؟ انا كذلك. انتم لا تدعوني اقرا ابدا. حسنا. [غير قابل للسمع] قراءه. اين نظاراتي؟ حسنا، شخص ما ضيع نظاراتي. حسنا. من يريد القراءه؟,29,0.0,False,7
I do.,multiple students,2,0,,,,-أحبّك,-احبك,1,0.0,False,7
"All right.  [Inaudible] can read.  We are not doing that.  All right.  Somebody gonna have to read loud and clear, loud and clear.  All right.  You want to?  Are you going to read loud?  All right.  Let her read it loud.  Okay.  Read the problem.  So you’re going to read the problem.  Quickly.",teacher,53,0,,,0.0,حسناً. [لا يمكن سماعها] يمكنها القراءة. نحن لا نفعل ذلك. حسناً. شخص ما يجب أن يقرأ بصوت عال و واضح، بصوت عال و واضح. حسناً. هل تريد ذلك؟ هل ستقرأ بصوت عال؟ حسناً. دعها تقرأ بصوت عال. حسناً. قراءة المشكلة. لذلك سوف تقرأ المشكلة. بسرعة.,حسنا. [لا يمكن سماعها] يمكنها القراءه. نحن لا نفعل ذلك. حسنا. شخص ما يجب ان يقرا بصوت عال و واضح، بصوت عال و واضح. حسنا. هل تريد ذلك؟ هل ستقرا بصوت عال؟ حسنا. دعها تقرا بصوت عال. حسنا. قراءه المشكله. لذلك سوف تقرا المشكله. بسرعه.,45,0.0,False,7
"Alexander, [Marshall] and Olivia had a pizza party.  There was a pepperoni, a vegetarian and a cheese pizza.  Each pizza was the same size.  Alexander ate one-sixth of the pepperoni pizza and five [inaudible] of the cheese pizza. How much of a pizza did he eat?",student,46,0,,0.0,,ألكسندر، [مارشال] وأوليفيا عقدوا حفلة بيتزا. كان هناك بيبيروني، ونباتي وبيتزا بالجبن. كل بيتزا كانت بنفس الحجم. أكل ألكسندر ستة بيتزا بالبيبيروني وخمسة بيتزا بالجبن. كم من البيتزا أكله؟,الكسندر، [مارشال] واوليفيا عقدوا حفله بيتزا. كان هناك بيبيروني، ونباتي وبيتزا بالجبن. كل بيتزا كانت بنفس الحجم. اكل الكسندر سته بيتزا بالبيبيروني وخمسه بيتزا بالجبن. كم من البيتزا اكله؟,29,0.0344827586206896,True,7
"How much?  Okay, guys let’s get to work.  I’m gonna come around and see what you doing.  All right. Okay, let’s see.  Let me see.  What do you understand about the problem?",teacher,32,0,1.0,,1.0,حسناً يا رفاق دعونا نعمل سأأتي لأرى ماذا تفعلون حسناً دعونا نرى ماذا تفهمون عن المشكلة,حسنا يا رفاق دعونا نعمل سااتي لاري ماذا تفعلون حسنا دعونا نري ماذا تفهمون عن المشكله,16,0.0,False,7
I understand that she ate six-twelve of the pepperoni pizza and five twelve of the cheese pizza.,student,17,0,,0.0,,أنا أفهم أنها أكلت ستة عشر من البيتزا البيبيروني و خمسة عشر من البيتزا الجبن.,انا افهم انها اكلت سته عشر من البيتزا البيبيروني و خمسه عشر من البيتزا الجبن.,15,0.4,True,7
Okay but what can you tell me about the size of the pizza?,teacher,13,0,1.0,,1.0,حسناً، لكن ماذا يمكنك أن تخبرني عن حجم البيتزا؟,حسنا، لكن ماذا يمكنك ان تخبرني عن حجم البيتزا؟,9,0.0,False,7
That they are all the same size.,student,7,0,,,,أنهم جميعاً بنفس الحجم,انهم جميعا بنفس الحجم,4,0.0,False,7
They are all the same size.  Do you think that’s gonna make the problem more difficult or easier for you to solve?,teacher,22,0,1.0,,0.0,هل تعتقد أن هذا سيجعل المشكلة أكثر صعوبة أو أسهل بالنسبة لك لحلها؟,هل تعتقد ان هذا سيجعل المشكله اكثر صعوبه او اسهل بالنسبه لك لحلها؟,13,0.0,False,7
Easy.,student,1,0,,,,بسهولة,بسهوله,1,0.0,False,7
Why?,teacher,1,0,,,1.0,-لماذا؟,-لماذا؟,1,0.0,False,7
"Because I already know that they’re the same size.  I’m not going to be frustrated figuring out if this one’s small, this one’s medium, this one is big.",student,28,0,,0.0,,لأنّي أعرف بالفعل أنّهما بنفس الحجم، ولن أكون محبطاً في معرفة ما إذا كان هذا صغير، وهذا متوسط، وهذا كبير.,لاني اعرف بالفعل انهما بنفس الحجم، ولن اكون محبطا في معرفه ما اذا كان هذا صغير، وهذا متوسط، وهذا كبير.,20,0.0,False,7
All right.  Do you know what the word accuracy means?,teacher,10,0,0.0,,0.0,حسناً، هل تعرف ما تعنيه كلمة دقة؟,حسنا، هل تعرف ما تعنيه كلمه دقه؟,7,0.0,False,7
Yes.,student,1,0,,,,-أجل، أجل,-اجل، اجل,2,0.0,False,7
What does the word accuracy say?,teacher,6,0,,,0.0,ماذا تقول كلمة دقة؟,ماذا تقول كلمه دقه؟,4,0.0,False,7
Like having like everything correct.,student,5,0,,,,مثل أن يكون كل شيء صحيحاً,مثل ان يكون كل شيء صحيحا,6,0.0,False,7
Right.  So you already know what to do right?,teacher,9,0,0.0,,0.0,صحيح، إذاً أنت تعرف بالفعل ما يجب فعله بشكل صحيح؟,صحيح، اذا انت تعرف بالفعل ما يجب فعله بشكل صحيح؟,10,0.0,False,7
Yes.,student,1,0,,,,-أجل، أجل,-اجل، اجل,2,0.0,False,7
So you gotta get 100 right?  Okay now think [inaudible] you gotta get 100 now.  Now we’re leaning toward a different dimension now.  All right thank you.  Okay?,teacher,28,1,,,0.0,إذاً يجب أن تحصل على 100 حقًا؟ حسناً الآن فكر أنّك يجب أن تحصل على 100 الآن. الآن نحن نميل نحو بعد مختلف الآن. حسناً، شكراً. حسناً؟,اذا يجب ان تحصل علي 100 حقا؟ حسنا الان فكر انك يجب ان تحصل علي 100 الان. الان نحن نميل نحو بعد مختلف الان. حسنا، شكرا. حسنا؟,25,0.0,False,7
